,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.44,0.57,0.67,0.3,0.42,0.79,0.0,0.18,0.22,0.57,0.38,0.67
freedom-erp.csv,1.0,1.0,0.9,1.0,0.3,0.0,0.76,0.0,0.25,0.14,0.0,1.0
javaprofiler.csv,0.4,0.3,0.75,0.36,0.29,0.74,0.58,0.06,0.3,0.57,0.38,0.85
jmoney.csv,0.71,0.53,0.92,0.65,0.32,0.82,0.81,0.11,0.5,0.32,0.42,0.68
jsidplay2.csv,0.41,0.33,0.91,0.38,0.33,0.84,0.59,0.07,0.3,0.57,0.57,0.65
reaper3d.csv,0.46,0.53,0.83,0.4,0.47,0.8,0.65,0.15,0.5,0.44,0.39,0.69
servicestack.csv,0.33,0.0,0.0,0.57,0.71,1.0,0.25,0.0,0.58,0.5,0.0,1.0
springside.csv,0.32,0.35,0.76,0.55,0.3,0.72,0.67,0.09,0.33,0.45,0.35,0.74
swtfox.csv,0.09,0.49,0.65,0.29,0.62,0.72,0.67,0.0,0.0,0.55,0.41,0.77
synecdoche.csv,0.48,0.4,0.89,0.43,0.3,0.86,0.63,0.13,0.22,0.54,0.6,0.6
tmva.csv,0.32,0.35,0.73,0.43,0.32,0.89,0.58,0.1,0.26,0.57,0.52,0.58
wsmt.csv,0.5,0.56,0.6,0.33,0.5,0.77,0.44,0.0,0.24,0.82,0.4,0.71
