,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.54,0.45,0.97,0.79,0.68,0.85,1.0,0.44,0.84,0.8,0.77,0.8
freedom-erp.csv,0.55,0.96,0.55,0.96,0.84,1.0,0.42,1.0,0.9,1.02,1.0,0.95
javaprofiler.csv,0.65,0.83,0.7,0.77,0.84,0.7,1.0,0.79,0.67,0.67,0.8,0.39
jmoney.csv,0.23,0.44,0.64,0.78,0.8,0.71,0.7,0.6,0.77,0.96,0.69,0.84
jsidplay2.csv,0.64,0.73,0.3,0.73,0.97,0.66,0.97,0.8,0.69,0.75,0.74,0.94
reaper3d.csv,0.5,0.45,0.55,0.92,0.83,0.79,0.61,0.42,0.51,0.85,0.78,0.79
servicestack.csv,0.95,1.0,1.0,0.92,0.88,0.99,0.99,1.0,0.39,0.97,1.0,0.97
springside.csv,0.72,0.96,0.69,0.38,0.84,0.73,0.56,0.84,0.68,0.82,0.91,0.7
swtfox.csv,1.02,0.49,0.87,0.78,0.52,0.74,0.98,1.02,1.0,0.82,0.7,0.53
synecdoche.csv,0.46,0.67,0.38,0.77,0.88,0.55,0.81,0.51,0.8,0.76,0.47,0.81
tmva.csv,0.75,0.71,0.92,0.59,0.87,0.34,1.0,0.64,0.98,0.66,0.66,0.95
wsmt.csv,0.76,0.82,0.95,0.76,0.88,0.94,0.96,1.0,0.82,0.28,0.93,0.64
