,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.82,0.21,0.41,0.5,0.22,0.73,0.55,0.33,0.76,0.19,0.0,0.98,0.81,0.71,0.35,0.93,0.52
biopax.csv,0.66,0.15,0.49,0.42,0.2,0.65,0.43,0.29,0.67,0.29,0.08,0.98,0.64,0.58,0.33,0.97,0.47
ffigo.csv,0.0,0.12,0.0,0.31,0.33,1.0,0.0,0.0,0.65,0.62,0.0,1.0,0.8,0.0,0.34,0.82,0.17
freebios.csv,0.52,0.14,0.77,0.37,0.13,0.54,0.33,0.33,0.66,0.53,0.1,0.99,0.61,0.39,0.29,0.71,0.57
glelite.csv,0.64,0.15,0.49,0.47,0.18,0.63,0.43,0.28,0.68,0.27,0.08,1.0,0.63,0.58,0.38,0.81,0.46
gnupdate.csv,0.76,0.24,0.38,0.49,0.53,0.73,0.5,0.4,0.77,0.17,0.0,0.95,0.78,0.77,0.44,0.86,0.51
go.csv,0.87,0.16,0.42,0.44,0.39,0.65,0.61,0.39,0.76,0.25,0.02,1.0,0.72,0.71,0.34,0.93,0.5
gstreamer.csv,0.73,0.14,0.41,0.45,0.25,0.64,0.51,0.31,0.76,0.18,0.1,0.98,0.61,0.78,0.4,0.82,0.47
metacosm.csv,0.86,0.18,0.42,0.59,0.29,0.73,0.83,0.37,0.78,0.24,0.09,0.98,0.75,0.82,0.38,0.88,0.77
pcsx2.csv,0.81,0.2,0.44,0.57,0.25,0.69,0.56,0.3,0.79,0.27,0.0,1.0,0.8,0.72,0.4,0.92,0.55
pgui.csv,1.0,0.0,0.37,0.41,0.3,0.0,0.54,0.47,0.77,0.13,0.0,0.97,0.67,0.0,0.42,0.8,0.47
qse.csv,0.91,0.15,0.46,0.48,0.8,0.85,0.76,0.61,0.81,0.2,0.06,0.97,0.79,0.86,0.38,0.96,0.54
rebecca-aiml.csv,0.72,0.18,0.61,0.51,0.16,0.63,0.59,0.32,0.71,0.71,0.15,0.99,0.72,0.62,0.37,0.83,0.53
skia.csv,0.76,0.21,0.5,0.51,0.18,0.68,0.7,0.29,0.66,0.64,0.16,1.0,0.65,0.67,0.58,0.57,0.67
vars-redux.csv,0.68,0.19,0.55,0.62,0.14,0.69,0.61,0.27,0.77,0.29,0.12,0.98,0.66,0.58,0.36,1.0,0.65
wxjs.csv,0.0,0.05,1.0,0.0,0.0,0.6,0.0,0.0,0.6,0.56,0.29,1.0,0.0,0.33,0.33,0.33,0.0
yale.csv,0.63,0.25,0.59,0.43,0.17,0.61,0.37,0.27,0.62,0.33,0.08,0.97,0.59,0.49,0.33,0.72,0.62
