,id,count_recall,count_precision,count_pf,cdom_score,bellwether
40,4,3,4,3,8,nutz.csv
47,5,1,2,8,8,vapor.csv
17,6,1,5,7,6,amateur-scrolls.csv
12,7,1,7,16,16,pgui.csv
23,8,1,7,13,12,pentahoanalysistool.csv
20,10,2,2,2,2,pfaedit.csv
11,11,1,3,9,8,mumble.csv
42,12,1,13,19,18,pixel-commandos.csv
46,13,2,10,14,14,wow-qrsk.csv
48,14,1,3,4,3,itext.csv
41,15,1,13,17,16,rocrail.csv
14,16,3,9,13,14,quantlib.csv
19,17,2,10,19,16,m-a-d-n-e-s-s.csv
9,18,2,6,7,10,sylpheed-claws.csv
21,19,1,8,14,14,kftpgrabber.csv
24,21,1,6,7,6,exist.csv
49,22,2,2,2,2,amygdala.csv
39,23,1,7,12,11,motu.csv
38,24,2,9,13,15,dxengine.csv
50,25,2,5,15,19,algebsql.csv
22,26,4,4,11,17,trinitycore.csv
10,27,3,7,5,11,superwaba.csv
18,28,1,2,4,3,miranda-icq.csv
13,29,1,8,11,11,bionote.csv
31,30,1,10,16,14,quark.csv
28,31,3,3,2,4,robocode.csv
2,32,2,9,17,16,qlc.csv
8,33,1,3,6,5,adobe-source.csv
7,34,1,3,6,8,owlapi.csv
3,35,1,3,9,9,panda3d.csv
27,36,1,9,14,13,gmerlin.csv
32,39,1,10,17,16,gamestone.csv
44,40,2,5,17,16,sarasvati.csv
36,41,1,8,17,16,autat.csv
15,42,4,7,14,19,ipfire-wall.csv
26,43,3,5,10,13,projecteqemu.csv
25,44,1,5,7,8,illumination.csv
16,45,1,9,13,12,genoviz.csv
35,46,1,12,18,17,jcae.csv
45,47,1,3,7,7,mycila.csv
37,48,2,10,16,16,moviesandbox.csv
43,49,1,3,10,9,taokgame.csv
0,50,3,3,4,5,pokenetonline.csv
5,51,2,4,14,14,aufs.csv
33,52,2,7,11,13,icescrum.csv
30,53,1,3,8,8,factor.csv
29,54,2,7,7,9,bibedt.csv
34,55,1,4,8,7,alpine.csv
4,56,1,1,7,6,kvs.csv
1,57,3,6,8,12,qtractor.csv
6,58,2,4,12,12,nodal.csv
