,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.34,0.84,0.45,0.42,0.47,0.44,0.41,0.44,0.33,0.47,0.63,0.37,0.49,0.45,0.39,0.42,0.39,0.52,0.4
delphilhlplib.csv,0.53,0.53,0.42,0.54,0.48,0.41,0.45,0.4,0.35,0.5,0.89,0.55,0.5,0.52,0.46,0.51,0.46,0.51,0.5
exordium.csv,0.53,0.41,0.62,0.91,0.75,0.57,0.75,0.88,0.52,0.86,0.42,0.97,0.97,0.93,0.83,0.9,0.94,0.97,0.36
fltk.csv,0.35,0.47,0.71,0.54,0.62,0.54,0.71,0.6,0.44,0.71,0.53,0.94,0.98,0.61,0.5,0.6,0.43,0.84,0.35
genoviz.csv,0.67,0.0,0.0,0.0,0.5,0.67,0.92,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8
gzigzag.csv,0.6,0.99,0.92,0.7,0.65,0.81,0.96,0.86,0.81,0.78,0.85,0.97,0.98,0.83,0.92,0.78,0.95,0.71,0.73
irrlicht.csv,0.36,0.49,0.67,0.44,0.46,0.51,0.48,0.58,0.36,0.5,0.44,0.37,0.5,0.44,0.52,0.42,0.98,0.59,0.38
kmess.csv,0.73,0.48,0.54,0.55,0.67,0.56,0.78,0.88,0.38,0.63,0.52,0.39,0.77,0.59,0.62,0.5,0.94,0.59,0.38
moast.csv,0.33,0.45,0.4,0.42,0.41,0.38,0.39,0.34,0.32,0.44,0.43,0.38,0.48,0.43,0.37,0.41,0.43,0.49,0.31
mptvseries.csv,0.43,0.95,0.83,0.65,0.71,0.9,0.95,0.55,0.44,0.74,0.58,0.61,0.94,0.8,0.68,0.67,0.93,0.95,0.67
nativeclient.csv,0.37,0.57,0.54,0.63,0.53,0.6,0.5,0.55,0.39,0.59,0.48,0.66,0.78,0.53,0.6,0.49,0.61,0.57,0.41
openfrag.csv,0.33,0.47,0.53,0.54,0.47,0.42,0.46,0.46,0.35,0.66,0.41,0.54,0.86,0.52,0.47,0.42,0.43,0.56,0.35
phet.csv,0.93,1.0,0.84,0.95,0.96,0.57,0.98,0.64,0.86,0.93,0.95,0.54,0.57,0.68,0.82,0.74,0.76,0.74,0.6
qdvdauthor.csv,0.51,0.47,0.65,0.52,0.48,0.56,0.62,0.44,0.31,0.66,0.42,0.55,0.57,0.47,0.44,0.49,0.48,0.5,0.33
qse.csv,0.35,0.42,0.38,0.55,0.57,0.5,0.48,0.53,0.32,0.45,0.5,0.37,0.69,0.63,0.43,0.43,0.58,0.65,0.36
sauerbraten.csv,0.38,0.5,0.86,0.97,0.69,0.64,0.76,0.65,0.41,0.83,0.57,0.94,0.98,0.93,0.6,0.57,0.54,0.93,0.53
toped.csv,0.43,0.47,0.5,0.49,0.5,0.72,0.46,0.79,0.34,0.5,0.44,0.51,0.47,0.43,0.42,0.41,0.5,0.54,0.46
truevision.csv,0.33,0.53,0.5,0.57,0.52,0.49,0.43,0.5,0.41,0.65,0.46,0.59,0.98,0.43,0.48,0.54,0.43,0.7,0.33
zoolib.csv,0.67,1.0,0.92,0.84,0.82,0.95,0.96,0.75,0.8,0.99,0.78,0.8,0.95,0.92,0.94,0.76,0.58,0.94,0.5
