,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.75,0.98,0.78,0.72,0.31,0.31,0.4,0.55,0.8,0.84,0.46,0.5,0.16,0.69,0.77,0.74,0.94,0.71,0.18
delphilhlplib.csv,0.58,0.34,1.0,0.6,0.33,0.37,0.33,0.56,0.89,0.75,0.3,0.39,0.15,0.61,0.73,0.61,0.92,0.73,0.06
exordium.csv,0.52,0.41,0.38,0.12,0.91,0.44,0.12,0.3,0.59,0.3,0.68,0.33,0.22,0.3,0.09,0.41,0.11,0.27,0.3
fltk.csv,0.85,0.39,0.4,0.99,0.53,0.41,0.11,0.51,0.76,0.5,0.72,0.37,0.28,0.68,0.61,0.58,0.97,0.41,0.26
genoviz.csv,0.1,0.0,0.04,0.01,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0
gzigzag.csv,0.61,0.11,0.12,0.53,0.46,0.96,0.13,0.23,0.36,0.48,0.35,0.29,0.06,0.35,0.34,0.39,0.1,0.53,0.25
irrlicht.csv,0.77,0.36,0.38,0.72,0.47,0.4,0.23,0.37,0.81,0.99,0.61,0.52,0.15,0.73,0.57,0.73,0.33,0.57,0.24
kmess.csv,0.41,0.4,0.55,0.55,0.41,0.33,0.17,0.15,0.73,0.58,0.52,0.44,0.15,0.56,0.55,0.97,0.12,0.69,0.28
moast.csv,0.76,0.4,0.83,0.73,0.4,0.36,0.37,0.55,0.92,0.87,0.6,0.52,0.16,0.71,0.81,0.77,1.0,0.74,0.19
mptvseries.csv,0.74,0.21,0.28,0.58,0.56,0.21,0.09,0.97,0.63,0.53,0.62,0.45,0.23,0.42,0.46,0.54,0.09,0.18,0.5
nativeclient.csv,0.67,0.36,0.57,0.46,0.49,0.44,0.21,0.49,0.74,0.54,0.6,0.58,0.16,0.6,0.43,0.59,0.48,0.98,0.19
openfrag.csv,0.75,0.37,0.55,0.66,0.43,0.38,0.19,0.6,0.83,0.59,0.68,0.51,0.19,0.98,0.68,0.69,0.94,0.57,0.21
phet.csv,0.19,0.21,0.49,0.09,0.05,0.31,0.95,0.36,0.34,0.12,0.29,0.29,0.08,0.43,0.42,0.42,0.06,0.53,0.13
qdvdauthor.csv,0.45,0.4,0.51,0.56,0.4,0.41,0.22,0.45,0.88,0.52,0.59,0.49,0.13,0.67,0.99,0.7,0.92,0.69,0.2
qse.csv,0.76,0.39,0.87,0.56,0.49,0.43,0.2,0.53,0.89,0.63,0.96,0.54,0.25,0.45,0.6,0.58,0.21,0.38,0.3
sauerbraten.csv,0.97,0.32,0.33,0.28,0.46,0.42,0.17,0.39,0.75,0.29,0.66,0.29,0.16,0.35,0.4,0.51,0.84,0.28,0.2
toped.csv,0.59,0.39,0.66,0.58,0.33,0.33,0.31,0.3,0.99,0.72,0.57,0.46,0.19,0.66,0.68,0.68,0.9,0.68,0.19
truevision.csv,0.78,0.43,0.56,0.65,0.56,0.38,0.27,0.51,0.66,0.52,0.57,0.99,0.18,0.69,0.58,0.64,0.89,0.44,0.24
zoolib.csv,0.53,0.16,0.25,0.5,0.39,0.27,0.07,0.17,0.42,0.47,0.55,0.19,0.83,0.18,0.32,0.49,0.68,0.18,0.57
