,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.91,0.0,0.46,0.39,0.0,0.67,0.92,0.56,0.95
ffigo.csv,0.68,0.74,0.67,0.47,0.36,0.89,0.97,0.93,0.41,0.94
foursquared.csv,0.0,0.99,0.89,0.86,0.41,0.5,0.0,0.75,0.0,0.0
gebr.csv,0.36,0.42,0.44,0.38,0.33,0.32,0.41,0.38,0.36,0.38
ildjit.csv,0.76,0.69,0.59,0.55,0.93,0.47,0.71,0.86,0.68,0.88
jfreereport.csv,0.95,0.76,0.83,0.44,0.8,0.73,0.67,0.86,0.59,0.88
kml.csv,0.46,0.43,0.49,0.39,0.33,0.43,0.44,0.36,0.38,0.43
ng4j.csv,0.47,0.46,0.55,0.52,0.37,0.55,0.55,0.76,0.47,0.61
pcsx2.csv,0.81,0.5,0.46,0.37,0.62,0.55,0.48,0.69,0.5,0.66
wxjs.csv,0.0,0.99,0.0,0.0,0.0,0.67,0.75,0.68,0.0,0.5
