,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.15,0.0,0.57,0.49,0.0,0.03,0.29,0.49,0.15
ffigo.csv,0.25,0.15,0.06,0.4,0.51,0.31,0.23,0.17,0.79,0.37
foursquared.csv,0.0,0.28,0.17,0.22,0.79,0.11,0.0,0.0,0.0,0.0
gebr.csv,0.43,0.24,0.76,0.48,0.51,0.69,0.78,0.16,0.76,0.41
ildjit.csv,0.54,0.23,0.55,0.43,0.21,0.54,0.42,0.0,0.54,0.11
jfreereport.csv,0.08,0.32,0.31,0.55,0.34,0.55,0.45,0.13,0.49,0.29
kml.csv,0.2,0.24,0.71,0.52,0.51,0.76,0.79,0.17,0.73,0.41
ng4j.csv,0.39,0.24,0.69,0.47,0.62,0.61,0.66,0.06,0.57,0.6
pcsx2.csv,0.15,0.3,0.84,0.52,0.49,0.59,0.77,0.0,0.05,0.52
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.1,0.03,0.48,0.0,0.0
