,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.44,0.91,0.41,0.33,0.44,0.68,0.52,0.93,0.4,0.33
libtorrent.csv,0.97,0.55,0.96,0.6,0.96,0.73,0.8,0.71,0.93,0.95
mcmc-jags.csv,0.46,0.59,0.89,0.87,0.8,0.68,0.93,0.68,0.67,0.84
nebuladevice.csv,0.75,0.09,0.0,0.6,0.0,0.43,0.37,0.0,0.73,0.79
olap-navigator.csv,0.84,0.41,0.89,0.6,0.67,0.49,0.63,0.64,0.8,0.91
pidgin.csv,0.77,0.59,0.93,0.53,0.73,0.56,0.76,0.86,0.33,0.95
salasaga.csv,0.56,0.73,0.41,0.73,0.71,0.46,0.7,0.75,0.2,0.93
sepgsql.csv,0.61,0.64,0.81,0.33,0.71,0.39,0.57,0.57,0.07,0.8
xstore.csv,0.52,0.09,1.0,0.4,0.91,0.31,0.72,0.75,0.53,0.94
xtreemfs.csv,0.82,0.5,1.0,0.73,0.94,0.55,0.89,0.71,0.13,0.88
