,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.69,0.5,0.44,0.26,0.46,0.49,0.14,0.27,0.02,0.57,0.65,0.49,0.08,0.43,0.22,0.28,0.47,0.06,0.45
beast-mcmc.csv,0.0,0.5,0.13,0.13,0.4,0.27,0.43,0.14,0.64,0.14,0.3,0.41,0.6,0.31,0.49,0.31,0.06,0.75,0.19
bigdata.csv,0.35,0.34,0.97,0.95,0.57,0.3,0.83,1.0,0.28,0.93,0.03,0.85,0.92,0.95,0.89,0.16,0.88,1.0,0.92
codesmith.csv,0.82,0.84,0.56,0.84,0.66,0.75,0.89,0.92,0.74,1.0,0.81,0.95,0.74,0.6,0.68,0.72,0.0,0.69,0.53
coot.csv,0.39,0.63,0.48,0.53,0.26,0.53,0.31,0.23,0.33,0.29,0.49,0.28,0.13,0.47,0.03,0.56,0.41,0.31,0.65
cuberok.csv,0.53,0.92,0.67,0.47,0.57,0.6,0.03,0.89,0.79,0.57,0.68,0.46,0.98,0.89,0.41,0.56,0.47,0.62,0.87
icescrum.csv,0.13,0.21,0.13,0.18,0.23,0.21,0.26,0.33,0.19,0.29,0.24,0.33,0.17,0.19,0.27,0.0,0.09,0.31,0.1
jbasic.csv,0.24,0.53,0.61,0.42,0.23,0.45,0.37,0.09,0.53,0.21,0.38,0.36,0.53,0.55,0.19,0.34,0.12,0.25,0.24
jrefactory.csv,0.49,0.0,0.62,0.53,0.69,0.41,0.54,0.45,0.52,0.57,0.46,0.69,0.34,0.58,0.27,0.47,0.71,0.12,0.6
jsecurity.csv,0.12,0.47,0.01,0.21,0.2,0.17,0.43,0.08,0.12,0.0,0.41,0.49,0.25,0.17,0.54,0.19,0.44,0.12,0.23
kolmafia.csv,0.45,0.55,0.36,0.18,0.54,0.38,0.26,0.39,0.28,0.36,0.43,0.0,0.08,0.44,0.35,0.34,0.41,0.25,0.68
libopenmetaverse.csv,0.8,0.84,0.82,0.82,0.0,0.84,0.97,0.86,0.67,0.36,0.68,0.56,0.91,0.84,0.89,0.84,0.65,1.0,0.77
mevenide.csv,0.57,0.68,0.29,0.74,0.74,0.53,0.71,0.86,0.6,0.57,0.41,0.67,0.51,0.0,0.84,0.84,0.59,0.75,0.77
mobicents.csv,0.3,0.29,0.24,0.34,0.51,0.0,0.23,0.24,0.19,0.5,0.19,0.23,0.09,0.31,0.38,0.41,0.09,0.31,0.26
opendvr.csv,0.75,0.87,0.4,0.39,0.91,0.7,0.29,0.68,0.57,0.64,0.73,0.85,0.02,0.52,0.81,0.75,0.68,0.62,0.47
power-architect.csv,0.55,0.55,0.88,0.63,0.94,0.67,0.49,0.23,0.71,0.0,0.54,0.82,0.6,0.72,0.43,0.84,1.0,0.62,0.95
sidekar.csv,0.55,0.84,0.42,0.05,0.51,0.6,0.46,0.56,0.48,0.71,0.68,0.41,0.45,0.6,0.57,0.5,0.26,0.5,0.71
ta3d.csv,0.82,0.92,0.8,0.82,0.8,0.79,0.57,0.86,0.66,0.71,0.73,0.67,0.49,0.91,0.57,0.62,0.56,0.0,0.56
thedata.csv,0.36,0.37,0.11,0.24,0.14,0.33,0.49,0.73,0.41,0.93,0.49,0.54,0.4,0.28,0.57,0.06,0.09,0.38,0.0
