,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.77,0.14,0.55,0.72,0.44,0.44,0.5,0.85,0.63,0.3,0.64,0.77,0.57,0.55,0.13,0.62,0.79,0.71,0.71
autat.csv,0.65,0.01,0.14,0.3,0.3,0.21,0.54,0.59,0.05,0.53,0.17,0.41,0.11,0.05,0.05,0.3,0.31,0.37,0.26
brlcad.csv,0.76,0.5,0.62,0.12,0.17,0.31,0.48,0.37,0.12,0.3,0.0,0.48,0.45,0.14,0.27,0.3,0.39,0.36,0.24
delphilhlplib.csv,0.76,0.52,0.87,0.54,0.49,0.38,0.65,0.68,0.24,0.37,0.66,0.7,0.57,0.56,0.28,0.57,0.61,0.56,0.59
exordium.csv,0.77,0.51,0.77,0.48,0.62,0.38,0.53,0.79,0.22,0.39,0.48,0.66,0.47,0.49,0.27,0.59,0.64,0.57,0.59
fltk.csv,0.76,0.2,0.45,0.73,0.38,0.38,0.56,0.67,0.16,0.32,0.57,0.61,0.66,0.45,0.13,0.59,0.6,0.59,0.69
google-web-toolkit.csv,0.75,0.17,0.66,0.68,0.53,0.44,0.5,0.7,0.31,0.29,0.71,0.54,0.53,0.51,0.07,0.57,0.66,0.73,0.72
gzigzag.csv,0.73,0.31,0.41,0.44,0.45,0.44,0.45,0.82,0.37,0.39,0.62,0.43,0.7,0.57,0.1,0.44,0.45,0.47,0.48
irrlicht.csv,0.76,0.0,0.85,0.73,0.4,0.38,0.55,0.92,0.0,0.32,0.64,0.75,0.6,0.52,0.16,0.71,0.71,0.03,0.81
mimosa.csv,0.76,0.45,0.87,0.53,0.38,0.4,0.4,0.67,0.92,0.34,0.84,0.68,0.54,0.49,0.17,0.6,0.7,0.62,0.67
mptvseries.csv,0.74,0.32,0.0,0.67,0.51,0.41,0.73,0.71,0.16,0.08,0.73,0.41,0.75,0.44,0.14,0.53,0.57,0.2,0.52
ogre.csv,0.13,0.29,0.68,0.59,0.24,0.39,0.31,0.68,0.97,0.23,0.68,0.67,0.39,0.5,0.16,0.52,0.64,0.6,0.66
openfrag.csv,0.78,0.4,0.84,0.67,0.54,0.36,0.61,0.91,0.31,0.3,0.69,0.69,0.64,0.61,0.19,0.75,0.7,0.7,0.61
qdvdauthor.csv,0.49,0.37,0.56,0.62,0.36,0.34,0.6,0.53,0.7,0.19,0.58,0.67,0.6,0.4,0.1,0.65,0.68,0.49,0.73
qse.csv,0.68,0.11,0.46,0.72,0.56,0.38,0.68,0.8,0.21,0.39,0.48,0.62,0.78,0.47,0.22,0.51,0.54,0.6,0.61
sauerbraten.csv,0.8,0.39,0.74,0.73,0.42,0.43,0.56,0.92,0.98,0.24,0.68,0.84,0.6,0.52,0.12,0.71,0.76,0.67,0.81
toped.csv,0.78,0.28,0.79,0.74,0.45,0.38,0.59,0.88,0.65,0.35,0.64,0.76,0.62,0.4,0.15,0.7,0.74,0.72,0.75
truevision.csv,0.72,0.0,0.55,0.7,0.44,0.37,0.53,0.76,0.49,0.42,0.53,0.7,0.0,0.69,0.22,0.59,0.59,0.63,0.67
zoolib.csv,0.8,0.31,0.65,0.57,0.52,0.39,0.65,0.74,0.24,0.33,0.53,0.54,0.43,0.49,0.33,0.38,0.56,0.49,0.49
