,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.33,0.7,0.63,0.42,0.53,0.43,0.42,0.35,0.58,0.41,0.36,0.51,0.52,0.43,0.97,0.45,0.5,0.44,0.38
autat.csv,0.39,0.75,0.8,0.85,0.88,0.94,0.86,0.43,0.88,0.89,0.68,0.84,0.5,0.0,0.88,0.93,0.94,0.99,0.86
brlcad.csv,0.32,0.62,0.57,0.92,0.75,0.73,0.83,0.64,0.94,0.57,0.0,0.81,0.67,0.75,0.89,0.93,0.68,0.81,0.9
delphilhlplib.csv,0.32,0.66,0.39,0.69,0.45,0.47,0.53,0.45,0.91,0.44,0.69,0.53,0.79,0.56,0.77,0.66,0.55,0.51,0.43
exordium.csv,0.32,0.61,0.5,0.74,0.65,0.41,0.47,0.38,0.97,0.46,0.49,0.58,0.83,0.78,0.72,0.64,0.51,0.45,0.46
fltk.csv,0.33,0.99,0.77,0.52,0.52,0.51,0.59,0.41,0.95,0.4,0.43,0.63,0.5,0.8,0.93,0.64,0.62,0.61,0.38
google-web-toolkit.csv,0.37,0.62,0.49,0.42,0.56,0.48,0.69,0.38,0.74,0.47,0.43,0.52,0.71,0.49,0.88,0.49,0.52,0.47,0.38
gzigzag.csv,0.32,0.55,0.56,0.5,0.58,0.48,0.5,0.3,0.55,0.43,0.41,0.47,0.53,0.44,0.72,0.6,0.49,0.49,0.44
irrlicht.csv,0.33,0.0,0.38,0.42,0.41,0.39,0.34,0.32,0.0,0.35,0.36,0.52,0.43,0.38,0.49,0.43,0.39,0.8,0.37
mimosa.csv,0.34,0.46,0.39,0.7,0.47,0.38,0.48,0.42,0.48,0.34,0.54,0.56,0.44,0.45,0.51,0.53,0.41,0.43,0.46
mptvseries.csv,0.35,0.51,0.0,0.5,0.6,0.93,0.44,0.42,0.96,0.9,0.4,0.68,0.46,0.92,0.91,0.71,0.6,0.98,0.48
ogre.csv,0.83,0.74,0.51,0.55,0.53,0.43,0.52,0.4,0.45,0.42,0.63,0.48,0.63,0.39,0.48,0.55,0.45,0.48,0.46
openfrag.csv,0.31,0.41,0.41,0.42,0.55,0.44,0.47,0.3,0.69,0.39,0.41,0.45,0.56,0.45,0.59,0.51,0.46,0.44,0.41
qdvdauthor.csv,0.86,0.48,0.68,0.52,0.53,0.59,0.55,0.62,0.63,0.4,0.58,0.63,0.43,0.59,0.75,0.52,0.55,0.67,0.49
qse.csv,0.38,0.98,0.77,0.45,0.48,0.51,0.53,0.31,0.96,0.75,0.45,0.56,0.5,0.45,0.77,0.58,0.51,0.57,0.38
sauerbraten.csv,0.39,0.45,0.46,0.42,0.44,0.47,0.38,0.32,0.42,0.37,0.42,0.45,0.43,0.39,0.49,0.43,0.42,0.45,0.37
toped.csv,0.34,0.62,0.43,0.43,0.51,0.41,0.43,0.4,0.64,0.38,0.36,0.56,0.44,0.65,0.85,0.53,0.54,0.43,0.44
truevision.csv,0.36,0.0,0.57,0.47,0.49,0.76,0.43,0.36,0.54,0.39,0.5,0.5,0.0,0.46,0.7,0.47,0.52,0.47,0.38
zoolib.csv,0.33,0.99,0.57,0.68,0.54,0.44,0.75,0.36,0.97,0.58,0.79,0.67,0.92,0.58,0.94,0.89,0.56,0.67,0.48
