,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.75,0.77,0.66,0.6,0.71,0.71,0.45,0.98,0.5,0.61,0.67,0.33,0.99,0.45,0.57
emulemorph.csv,0.92,0.95,1.0,0.45,0.95,1.1,0.77,0.96,1.0,0.84,0.84,1.0,1.0,0.96,0.98
fceugc.csv,0.58,0.67,0.86,0.69,0.43,0.9,0.77,0.8,0.97,0.7,0.58,0.72,0.74,0.58,0.76
gnukeda.csv,0.8,0.38,0.61,0.85,0.8,0.26,0.93,0.86,0.97,0.99,0.92,0.92,0.76,0.74,0.75
gusanos.csv,0.99,0.73,0.66,1.02,0.95,0.88,0.78,0.32,1.0,0.87,0.75,0.79,0.78,0.96,0.75
micomt.csv,0.63,0.97,0.63,0.75,0.79,1.06,0.21,0.9,0.85,0.84,0.71,0.77,1.0,0.88,0.89
modplug.csv,1.0,0.95,0.96,0.88,0.69,1.04,0.74,1.0,0.9,0.42,0.72,0.79,0.75,0.75,0.73
ogre.csv,0.76,0.48,0.85,0.82,0.82,0.06,0.67,0.73,0.83,0.63,0.94,0.81,1.03,0.78,0.82
openfrag.csv,0.82,0.67,0.64,0.69,0.59,1.33,0.47,0.65,0.55,0.43,0.37,0.42,0.99,0.46,0.57
oscarmcmaster.csv,0.57,0.69,0.58,0.71,0.64,0.92,0.69,0.56,1.0,0.8,0.52,0.5,0.64,0.7,0.55
pidgin.csv,0.45,0.67,0.62,0.78,0.61,1.2,0.74,0.47,0.57,0.74,0.54,0.83,0.66,0.58,0.57
repositorium.csv,1.0,0.8,0.96,0.85,0.72,0.6,1.01,0.91,0.35,0.96,0.99,0.68,0.72,0.75,0.74
unimrcp.csv,0.62,0.51,0.39,0.69,0.57,0.81,0.54,0.62,0.77,0.64,0.58,0.63,0.84,0.57,0.83
xapian.csv,0.93,0.97,0.97,0.9,0.5,1.06,0.62,0.93,0.61,0.55,0.86,0.61,1.0,0.41,0.73
xqilla.csv,0.85,0.84,0.93,0.56,0.69,0.87,1.07,0.98,0.89,0.84,0.84,0.86,0.06,0.89,0.84
