,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.18,0.0,0.12,0.41,0.58,0.28,0.89,0.28,0.07,0.84,0.4,0.58,0.4,0.18,0.33,0.22,0.11,0.35,0.29
bulmages.csv,0.28,0.15,0.05,0.12,0.18,0.11,0.25,0.0,0.02,0.38,0.14,0.92,0.1,0.04,0.0,0.13,0.17,0.2,0.0
forester-atv.csv,0.25,0.05,0.49,0.18,0.97,0.18,0.25,0.12,0.12,0.47,0.28,0.12,0.27,0.21,0.0,0.13,0.11,0.28,0.0
google-collections.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
hannosset.csv,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.86,0.0,0.06,0.04,0.0
jbpm.csv,0.3,0.4,0.04,0.21,0.22,0.07,0.23,0.06,0.97,0.2,0.12,0.22,0.27,0.0,0.0,0.31,0.06,0.0,0.0
mevenide.csv,0.25,0.02,0.01,0.18,0.35,0.41,0.18,0.12,0.31,0.2,0.34,0.0,0.1,0.27,0.0,0.1,0.06,0.98,0.29
nassp.csv,0.36,0.26,0.63,0.32,0.66,0.57,0.43,0.42,0.63,0.93,0.31,0.0,0.71,0.48,0.2,0.19,0.17,0.32,0.29
open-media-library.csv,0.46,0.06,0.13,0.98,0.5,0.47,0.58,0.42,0.51,0.52,0.66,0.62,0.46,0.56,0.45,0.5,0.64,0.45,0.49
opendvr.csv,0.44,0.0,0.25,0.49,0.55,0.41,0.36,0.28,0.39,0.44,0.34,0.46,0.54,0.56,0.64,0.49,0.93,0.38,0.5
openefm.csv,0.32,0.0,0.42,0.43,0.6,1.0,0.5,0.24,0.27,0.59,0.2,0.42,0.42,0.18,0.37,0.44,0.4,0.25,0.28
oppna-program-hsatools.csv,0.38,0.75,0.0,0.51,0.0,0.33,0.0,0.32,0.13,0.17,1.0,0.17,0.65,0.21,0.26,0.67,0.24,0.21,0.18
paintown.csv,0.99,0.56,0.5,0.46,0.59,0.56,0.62,0.46,0.63,0.67,0.67,0.65,0.58,0.37,0.75,0.59,0.4,0.52,0.62
projectfactory.csv,0.33,0.23,0.4,0.52,0.45,0.48,0.45,0.2,0.33,0.1,0.4,0.38,0.56,0.93,0.37,0.1,0.17,0.42,0.29
smbopensoft.csv,0.44,0.51,0.99,0.5,0.61,0.46,0.68,0.42,0.67,0.68,0.57,0.33,0.59,0.56,0.74,0.3,0.4,0.66,0.29
st-filteredstatistics.csv,0.66,0.45,0.32,0.61,0.59,0.64,0.73,0.58,0.6,0.78,0.69,0.65,1.0,0.57,0.42,0.61,0.59,0.6,0.28
thedata.csv,0.56,0.07,0.09,0.18,0.22,0.47,0.34,0.2,0.2,0.64,0.13,0.33,0.27,0.55,0.6,0.66,0.26,0.2,1.0
trackit.csv,0.59,0.39,0.04,0.47,0.56,0.55,0.36,1.0,0.54,0.61,0.63,0.33,0.7,0.51,0.34,0.5,0.63,0.57,0.27
wxstudio.csv,0.35,0.07,0.04,0.32,0.31,0.31,0.44,0.2,0.15,0.2,0.35,0.54,0.18,0.1,0.36,0.96,0.41,0.12,0.29
