,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.67,0.87,0.71,0.53,0.95,0.8,0.58,0.73,0.94,0.68,0.78,0.7
gamestone.csv,0.15,0.75,1.02,0.97,0.96,0.93,0.97,0.91,0.63,0.91,0.92,0.94
geochat.csv,1.01,0.88,0.97,0.55,0.68,0.82,0.97,0.8,0.8,1.01,0.78,0.54
igarden.csv,0.77,0.53,0.77,0.52,0.65,0.59,0.89,0.64,0.68,0.68,0.56,0.82
ingex.csv,0.88,0.65,0.57,0.75,0.87,0.48,0.6,0.76,0.83,0.58,0.62,0.72
lphant.csv,0.46,0.84,0.6,0.84,0.67,0.59,0.57,0.28,0.6,0.51,0.64,0.67
nabu-library.csv,0.59,0.7,0.68,0.86,0.27,0.83,1.0,0.94,1.01,0.78,0.7,0.78
nebuladevice.csv,0.83,0.78,1.0,0.74,0.89,0.88,1.09,0.98,0.4,0.62,0.65,1.0
owlapi.csv,1.09,0.82,0.32,0.78,0.88,0.62,0.81,0.93,0.82,0.69,0.77,0.64
pi-qmc.csv,0.3,0.71,0.61,0.76,0.67,0.67,0.59,0.7,0.77,0.25,0.76,0.64
trinitycore.csv,0.55,0.65,0.87,0.86,0.7,0.82,0.91,0.73,0.52,0.55,0.53,0.94
twostep.csv,0.47,0.65,0.92,1.0,0.94,0.78,0.19,0.83,0.69,0.38,0.71,0.8
