,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.71,0.76,0.69,0.85,0.74,0.51,0.9,0.0,0.83,0.92
fritzing.csv,0.66,0.45,0.02,0.63,0.48,0.46,0.81,0.86,0.68,0.59
jlinalg.csv,0.0,0.77,0.86,0.89,1.0,0.78,0.98,0.9,0.94,0.77
knowledge.csv,0.39,0.75,0.75,0.98,0.0,0.79,0.96,0.7,0.97,0.85
massiv.csv,1.0,1.0,0.96,1.0,1.0,0.25,1.0,1.0,1.0,1.0
multitude.csv,0.51,0.59,0.54,0.64,0.46,0.46,0.65,0.48,0.67,0.05
playerstage.csv,0.65,0.58,0.56,0.02,0.58,0.4,0.82,0.76,0.72,0.73
quarkplusplus.csv,0.67,0.7,0.66,0.57,0.55,0.36,0.9,0.53,0.03,0.84
rtrt-on-gpu.csv,0.96,0.78,0.8,0.86,0.77,0.8,0.0,1.02,0.92,0.86
superwaba.csv,0.66,0.06,0.54,0.55,0.9,0.79,0.78,0.61,0.48,0.52
