,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.3,0.26,0.33,0.16,0.26,0.5,0.1,1.0,0.17,0.08
fritzing.csv,0.38,0.58,0.99,0.5,0.56,0.75,0.2,0.15,0.33,0.46
jlinalg.csv,1.0,0.66,0.86,0.9,0.95,1.0,0.8,0.75,1.0,0.89
knowledge.csv,0.64,0.3,0.31,1.0,1.0,1.0,1.0,0.9,0.92,0.83
massiv.csv,0.0,0.0,0.04,0.0,0.0,0.75,0.0,0.0,0.0,0.0
multitude.csv,0.5,0.52,0.62,0.67,0.58,1.0,0.5,0.75,0.38,0.97
playerstage.csv,0.46,0.6,0.61,0.98,0.45,1.0,0.2,0.3,0.33,0.37
quarkplusplus.csv,0.48,0.3,0.42,0.45,0.45,0.75,0.1,0.7,1.0,0.18
rtrt-on-gpu.csv,0.06,0.3,0.25,0.17,0.34,0.25,1.0,0.0,0.08,0.17
superwaba.csv,0.38,0.94,0.57,0.6,0.58,0.75,0.3,0.65,0.67,0.58
