,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.45,0.32,0.43,0.25,0.41,0.06,0.18,1.0,0.29,0.14
fritzing.csv,0.53,0.62,0.99,0.49,0.71,0.03,0.21,0.21,0.43,0.55
jlinalg.csv,1.0,0.45,0.62,0.57,0.94,0.02,0.25,0.4,0.62,0.69
knowledge.csv,0.76,0.34,0.38,0.59,1.0,0.02,0.3,0.51,0.57,0.64
massiv.csv,0.0,0.0,0.08,0.0,0.0,0.86,0.0,0.0,0.0,0.0
multitude.csv,0.66,0.49,0.61,0.55,0.73,0.03,0.29,0.56,0.44,0.97
playerstage.csv,0.59,0.5,0.6,0.99,0.62,0.03,0.2,0.3,0.39,0.43
quarkplusplus.csv,0.6,0.42,0.48,0.54,0.62,0.04,0.13,0.52,0.98,0.27
rtrt-on-gpu.csv,0.11,0.31,0.32,0.23,0.49,0.01,1.0,0.0,0.14,0.25
superwaba.csv,0.53,0.97,0.59,0.56,0.71,0.01,0.21,0.46,0.63,0.63
