,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.4,1.0,0.17,0.75,0.8,0.84,0.39,0.39,0.75,0.51
ivatamasks.csv,0.26,1.0,0.06,0.86,0.68,0.83,0.27,0.18,0.71,0.23
orc.csv,0.14,1.0,0.29,0.71,0.5,0.86,0.38,0.19,0.82,0.38
plato.csv,0.28,0.99,0.08,0.7,0.67,0.95,0.37,0.2,0.73,0.22
rodin-b-sharp.csv,1.0,0.97,0.36,0.61,0.81,0.83,0.79,0.14,0.88,0.12
umber.csv,0.75,0.98,0.11,0.76,0.63,0.84,0.39,0.15,0.83,0.2
unicase.csv,0.55,1.0,0.13,0.68,0.61,0.85,0.42,0.25,0.83,0.22
uwom.csv,0.09,1.0,0.19,0.73,0.61,0.9,0.21,0.18,0.79,0.49
vienna-add-in.csv,0.32,0.98,0.08,0.66,0.79,0.85,0.23,0.17,0.61,0.24
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.15,0.73,0.28
