,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.46,0.64,0.53,0.59,0.77,0.71,0.81,0.35,0.71,0.62
ivatamasks.csv,0.96,0.27,1.02,0.36,0.95,0.74,0.97,0.71,0.88,0.86
orc.csv,0.95,0.47,0.3,0.65,0.92,0.69,0.73,0.72,0.64,0.5
plato.csv,0.91,1.0,0.98,0.75,0.93,0.28,0.91,0.64,0.94,0.93
rodin-b-sharp.csv,0.47,1.15,0.51,0.81,0.85,0.76,0.24,0.82,0.67,0.95
umber.csv,0.12,1.01,0.94,0.6,0.87,1.0,0.85,0.92,0.59,0.99
unicase.csv,0.28,0.17,0.73,0.83,0.79,0.78,0.69,0.53,0.46,0.73
uwom.csv,1.0,0.59,0.52,0.85,0.8,0.6,0.92,0.81,0.74,0.3
vienna-add-in.csv,0.62,1.07,0.86,0.79,0.48,0.7,0.91,0.79,0.93,0.7
wpdev.csv,0.98,0.0,0.99,1.0,0.98,1.0,1.0,0.94,0.99,0.71
