,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.22,0.03,0.48,0.84,0.76,0.83,0.0,0.4,0.26,0.12,0.75,0.69
emulemorph.csv,0.08,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.21,0.01,0.0
fulguro.csv,0.05,0.28,0.02,0.1,0.19,0.33,0.24,0.0,0.0,0.23,0.0,0.0
fw4spl.csv,0.08,0.36,0.0,0.12,0.41,0.2,0.24,0.0,0.42,0.21,0.27,0.16
gnome-jabber.csv,0.88,0.54,0.72,0.79,0.86,0.54,0.72,0.4,0.89,0.92,0.65,0.66
ipfilter.csv,0.75,0.77,0.77,0.69,0.46,0.48,0.48,1.0,0.0,0.55,0.71,0.34
ipfire-wall.csv,0.08,0.03,0.22,0.16,0.0,0.11,0.76,0.0,0.21,0.22,0.28,0.03
libmesh.csv,0.4,0.15,0.23,0.12,0.16,0.02,0.56,0.6,0.11,0.27,0.34,0.44
rockbox.csv,0.65,0.21,0.39,0.62,0.38,0.39,0.56,0.2,0.37,0.48,0.44,0.0
soar.csv,0.85,0.85,0.8,0.75,0.81,0.72,0.04,1.0,0.47,0.74,0.75,0.81
tencompetence.csv,0.35,0.13,0.42,0.35,0.22,0.57,0.68,0.0,0.0,0.02,0.53,0.19
xbrlapi.csv,0.0,0.62,0.45,0.55,0.49,0.89,0.56,0.8,0.21,0.33,0.34,0.28
