,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.36,0.97,0.79,0.83,0.83,0.69,0.0,0.46,0.17,0.06,0.82,0.79
emulemorph.csv,0.02,0.01,0.0,0.67,0.0,0.0,0.42,0.0,0.0,0.4,0.0,0.05
fulguro.csv,0.17,0.19,0.04,0.0,0.28,0.31,0.13,0.05,0.04,0.27,1.0,0.11
fw4spl.csv,0.07,0.43,0.88,0.17,0.17,0.19,0.19,0.29,0.35,0.06,0.36,0.11
gnome-jabber.csv,0.88,0.68,0.79,0.83,0.89,0.5,0.74,1.0,0.85,0.86,0.73,0.95
ipfilter.csv,0.81,0.58,0.73,1.0,0.61,0.58,0.55,0.92,1.0,0.66,0.91,0.74
ipfire-wall.csv,0.26,0.12,0.25,0.0,0.89,0.19,0.58,0.13,0.37,0.25,0.36,0.21
libmesh.csv,0.45,0.15,0.21,0.0,0.17,0.88,0.61,0.3,0.13,0.48,0.36,0.11
rockbox.csv,0.67,0.4,0.35,0.67,0.61,0.38,0.52,0.39,0.61,0.37,0.45,1.0
soar.csv,0.76,0.76,0.77,0.83,0.56,0.69,0.94,0.98,0.61,0.83,0.82,0.74
tencompetence.csv,0.36,0.11,0.21,0.5,0.56,0.42,0.52,0.08,0.17,0.99,0.55,0.11
xbrlapi.csv,0.93,0.6,0.6,0.5,0.39,0.88,0.45,0.79,0.11,0.35,0.45,0.58
