,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.4,0.97,0.72,0.45,0.56,0.43,0.0,0.48,0.2,0.07,0.56,0.6
emulemorph.csv,0.02,0.01,0.0,0.72,0.0,0.0,0.46,0.0,0.0,0.44,0.0,0.06
fulguro.csv,0.2,0.22,0.05,0.0,0.32,0.35,0.16,0.06,0.05,0.31,1.0,0.13
fw4spl.csv,0.09,0.46,0.9,0.2,0.2,0.22,0.22,0.34,0.38,0.07,0.4,0.13
gnome-jabber.csv,0.39,0.62,0.58,0.52,0.43,0.49,0.56,0.88,0.36,0.29,0.6,0.7
ipfilter.csv,0.56,0.44,0.51,0.69,0.59,0.57,0.54,0.0,1.0,0.6,0.64,0.72
ipfire-wall.csv,0.3,0.15,0.29,0.0,0.91,0.23,0.45,0.16,0.41,0.29,0.4,0.25
libmesh.csv,0.47,0.18,0.25,0.0,0.2,0.9,0.57,0.32,0.16,0.52,0.4,0.13
rockbox.csv,0.57,0.44,0.38,0.58,0.61,0.41,0.5,0.43,0.61,0.39,0.47,1.0
soar.csv,0.42,0.42,0.49,0.57,0.4,0.53,0.94,0.0,0.59,0.58,0.56,0.47
tencompetence.csv,0.4,0.13,0.24,0.52,0.59,0.42,0.46,0.1,0.2,0.99,0.53,0.13
xbrlapi.csv,0.94,0.54,0.59,0.49,0.41,0.37,0.45,0.5,0.13,0.39,0.48,0.6
