,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.68,0.04,0.52,0.85,0.77,0.88,1.0,0.67,0.87,0.95,0.77,0.72
emulemorph.csv,0.98,0.99,1.0,0.33,1.0,1.0,0.61,1.0,1.0,0.63,1.0,0.95
fulguro.csv,0.83,0.86,0.96,1.0,0.75,0.77,0.9,0.95,0.96,0.76,0.0,0.89
fw4spl.csv,0.93,0.67,0.12,0.84,0.93,0.83,0.84,0.71,0.78,0.96,0.69,0.91
gnome-jabber.csv,0.88,0.63,0.75,0.81,0.87,0.74,0.76,0.4,0.91,0.93,0.7,0.66
ipfilter.csv,0.77,0.88,0.81,0.69,0.6,0.64,0.66,1.0,0.0,0.65,0.71,0.43
ipfire-wall.csv,0.74,0.88,0.78,1.01,0.11,0.81,0.87,0.87,0.66,0.78,0.69,0.79
libmesh.csv,0.68,0.87,0.82,1.01,0.85,0.12,0.68,0.92,0.88,0.59,0.72,1.0
rockbox.csv,0.73,0.64,0.76,0.71,0.54,0.73,0.74,0.64,0.54,0.79,0.7,0.0
soar.csv,0.88,0.88,0.83,0.77,0.92,0.78,0.08,1.0,0.61,0.76,0.77,0.85
tencompetence.csv,0.73,0.9,0.9,0.61,0.49,0.81,0.83,0.92,0.83,0.02,0.7,0.91
xbrlapi.csv,0.07,0.73,0.6,0.74,0.78,0.9,0.78,0.83,0.92,0.73,0.64,0.51
