,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.45,0.98,0.32,0.1,0.49,0.44,0.0,0.62,0.27,0.11,0.23,0.54
emulemorph.csv,0.04,0.02,0.0,0.8,0.0,0.0,0.53,0.0,0.0,0.53,0.0,0.1
fulguro.csv,0.27,0.3,0.07,0.0,0.33,0.33,0.2,0.1,0.08,0.39,1.0,0.19
fw4spl.csv,0.12,0.56,0.93,0.11,0.17,0.25,0.28,0.45,0.46,0.1,0.22,0.15
gnome-jabber.csv,0.65,0.73,0.24,0.11,0.48,0.41,0.64,0.99,0.76,0.73,0.23,0.62
ipfilter.csv,0.64,0.63,0.21,0.14,0.48,0.48,0.57,0.93,1.0,0.67,0.26,0.64
ipfire-wall.csv,0.39,0.21,0.18,0.0,0.94,0.28,0.53,0.23,0.51,0.37,0.22,0.33
libmesh.csv,0.49,0.24,0.15,0.0,0.22,0.92,0.59,0.46,0.22,0.59,0.19,0.11
rockbox.csv,0.58,0.54,0.18,0.11,0.51,0.37,0.52,0.56,0.69,0.46,0.2,1.0
soar.csv,0.59,0.74,0.22,0.11,0.34,0.47,0.95,0.96,0.67,0.74,0.23,0.47
tencompetence.csv,0.42,0.19,0.1,0.13,0.56,0.35,0.5,0.14,0.3,0.99,0.2,0.15
xbrlapi.csv,0.96,0.67,0.26,0.09,0.33,0.51,0.47,0.86,0.18,0.46,0.23,0.56
