,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.54,0.34,0.56,1.0,0.68,1.0,0.0,0.5,0.09,0.46,0.14,0.15,0.44
fontforge.csv,0.33,0.21,0.65,0.58,0.6,0.3,0.0,1.0,0.22,0.54,0.11,0.58,0.42
gmerlin.csv,0.42,0.35,0.77,0.47,0.58,0.48,0.06,0.5,0.11,0.55,0.11,0.97,0.35
hatari.csv,0.53,0.46,1.0,0.33,0.75,0.5,0.08,0.5,0.16,0.51,0.15,0.42,0.47
jcl.csv,0.75,0.32,0.39,0.33,0.56,0.31,0.0,0.67,0.07,0.51,1.0,0.29,0.42
ltp.csv,0.5,0.21,0.71,1.0,1.0,0.43,0.0,0.5,0.11,1.0,0.4,0.5,0.0
net-snmp.csv,1.0,0.38,0.55,0.18,0.73,0.47,0.11,0.44,0.17,0.39,0.17,0.39,0.45
opde.csv,0.41,0.37,0.42,1.0,0.67,0.4,0.0,0.36,0.1,0.54,0.11,0.37,0.47
powerfolder-.csv,0.6,1.0,0.43,0.54,0.64,0.39,0.0,1.0,0.17,0.5,0.11,0.0,0.47
qlc.csv,0.8,0.33,1.0,0.36,0.0,0.25,0.0,0.55,1.0,0.38,0.17,0.33,0.37
tcl.csv,0.37,0.27,0.29,0.33,0.66,0.51,0.0,0.56,0.17,1.0,0.23,0.29,0.34
wxstudio.csv,0.37,0.32,0.53,0.24,0.4,0.42,0.07,0.33,0.28,0.62,1.0,0.36,0.97
