,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.59,0.63,0.69,0.84,0.91,0.0,1.01,0.62,0.91,0.75,0.65,0.95,0.81
fontforge.csv,0.92,0.86,0.64,0.59,0.83,0.87,1.02,0.04,0.49,0.72,0.78,0.78,0.88
gmerlin.csv,0.76,0.61,0.66,0.55,0.88,0.67,0.29,0.62,0.8,0.63,0.76,0.03,0.85
hatari.csv,0.67,0.49,0.07,0.78,0.65,0.65,0.23,0.74,0.69,0.69,0.62,0.72,0.78
jcl.csv,0.93,0.83,0.82,0.83,0.9,0.88,1.02,0.92,0.92,0.83,0.0,0.94,0.78
ltp.csv,0.98,0.85,0.83,0.88,0.01,0.96,1.01,0.92,0.95,0.97,0.86,0.94,1.0
net-snmp.csv,0.05,0.69,0.65,0.95,0.65,0.7,0.15,0.72,0.65,0.83,0.56,0.67,0.79
opde.csv,0.78,0.61,0.8,0.12,0.74,0.72,1.12,0.86,0.82,0.72,0.97,0.67,0.67
powerfolder-.csv,0.93,0.03,0.9,0.73,0.79,0.85,1.01,0.83,0.84,0.88,0.74,1.0,0.78
qlc.csv,0.9,0.91,0.97,0.85,1.0,0.96,1.0,0.77,0.11,0.89,0.8,0.91,0.79
tcl.csv,0.86,0.82,0.89,0.83,0.83,0.65,1.02,0.66,0.8,0.03,0.46,0.84,0.84
wxstudio.csv,0.86,0.78,0.72,0.88,0.99,0.86,0.25,0.9,0.58,0.76,0.93,0.7,0.02
