,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.9,0.66,0.97,0.72,0.8,0.75,0.62,0.87,0.03,0.65,0.69
emono.csv,0.91,0.76,1.0,0.8,0.65,0.79,0.76,0.81,0.51,0.75,0.03
haggle.csv,0.59,0.06,0.98,0.3,0.43,0.76,0.66,0.46,0.7,0.75,0.77
hannosset.csv,0.91,0.99,1.0,1.0,0.88,0.01,0.96,1.0,1.0,0.94,0.95
jas.csv,1.01,0.87,0.83,0.44,0.78,0.85,0.76,0.0,0.78,0.93,0.84
jgossipforum.csv,0.96,0.99,0.96,0.2,1.0,1.0,0.91,0.88,0.85,0.9,0.98
madman.csv,0.92,0.93,0.85,1.0,0.0,0.67,0.89,1.0,1.0,1.0,0.97
mediate.csv,0.66,0.57,0.08,0.52,0.5,0.61,0.6,0.54,0.56,0.64,0.63
ngl.csv,0.58,0.68,0.59,0.45,0.49,0.97,0.02,0.55,0.55,0.74,0.79
pustefix.csv,0.04,0.93,0.84,0.57,1.01,1.0,0.9,0.64,1.01,0.97,0.92
synecdoche.csv,0.62,0.9,0.78,0.66,0.97,0.51,0.83,0.86,0.83,0.07,0.69
