,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.81,0.64,0.5,0.77,0.67,0.58,0.57,0.5,0.51,0.74,0.71
emono.csv,0.61,0.64,0.32,0.47,0.58,0.44,0.59,0.63,0.58,0.52,0.53
haggle.csv,0.42,0.58,0.67,0.54,0.48,0.33,0.55,0.58,0.39,0.33,0.48
hannosset.csv,0.5,0.5,0.0,0.0,0.5,0.86,0.97,0.0,0.0,0.83,0.92
jas.csv,0.88,0.88,0.73,0.85,0.73,0.93,0.87,0.88,0.52,0.92,0.74
jgossipforum.csv,0.0,0.0,0.83,0.8,0.0,0.67,0.94,0.8,0.89,0.75,0.67
madman.csv,0.83,0.86,0.86,0.5,0.88,0.86,0.97,0.67,0.0,0.67,0.86
mediate.csv,0.55,0.38,0.49,0.45,0.43,0.36,0.5,0.46,0.36,0.34,0.5
ngl.csv,0.41,0.65,0.5,0.7,0.53,0.49,0.56,0.69,0.45,0.5,0.62
pustefix.csv,0.77,0.83,0.92,0.53,0.8,0.83,0.98,0.8,0.83,0.83,0.95
synecdoche.csv,0.82,0.79,0.32,0.85,0.81,0.55,0.97,0.58,0.91,0.63,0.74
