,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.44,0.32,0.03,0.4,0.27,0.35,0.32,0.72,0.0,0.19,0.19
emono.csv,0.68,0.61,1.0,0.78,0.53,0.61,0.64,0.51,0.32,0.6,0.0
haggle.csv,0.55,0.02,0.07,0.3,0.35,0.68,0.15,0.26,0.68,0.65,0.55
hannosset.csv,0.0,0.02,0.0,0.0,0.02,0.01,0.14,0.01,0.03,0.09,0.17
jas.csv,0.13,0.49,0.47,0.17,0.47,0.19,0.42,0.0,0.73,0.23,0.62
jgossipforum.csv,0.0,0.0,0.13,0.0,0.0,0.04,0.0,0.03,0.08,0.02,0.02
madman.csv,0.06,0.05,0.03,0.01,0.0,0.07,0.06,0.03,0.0,0.07,0.1
mediate.csv,0.45,0.29,0.03,0.48,0.33,0.51,0.15,0.54,0.46,0.49,0.19
ngl.csv,0.47,0.24,0.33,0.21,0.47,0.49,0.02,0.24,0.41,0.4,0.45
pustefix.csv,0.0,0.02,0.2,0.57,0.1,0.09,0.11,0.39,0.16,0.12,0.24
synecdoche.csv,0.13,0.44,0.77,0.27,0.41,0.48,0.32,0.43,0.11,0.0,0.38
