,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.22,0.42,0.03,0.4,0.25,0.33,0.47,0.5,0.98,0.38,0.34
emono.csv,0.39,0.55,0.97,0.8,0.62,0.5,0.58,0.38,0.6,0.55,0.98
haggle.csv,0.78,0.95,0.03,1.0,0.75,0.67,0.35,0.62,0.8,0.62,0.46
hannosset.csv,0.09,0.01,0.0,0.0,0.12,1.0,0.05,0.0,0.0,0.07,0.06
jas.csv,0.0,0.28,0.31,0.6,0.38,0.17,0.36,1.0,0.72,0.1,0.44
jgossipforum.csv,0.04,0.01,0.05,0.8,0.0,0.0,0.09,0.12,0.15,0.1,0.02
madman.csv,0.09,0.07,0.15,0.0,1.0,0.33,0.11,0.0,0.0,0.0,0.04
mediate.csv,0.52,0.51,0.92,0.8,0.62,0.67,0.42,1.0,0.68,0.59,0.4
ngl.csv,0.65,0.36,0.51,0.6,0.88,0.17,1.0,0.5,0.62,0.38,0.35
pustefix.csv,0.96,0.07,0.18,1.0,0.0,0.0,0.11,0.5,0.0,0.03,0.11
synecdoche.csv,0.39,0.22,0.85,0.4,0.12,0.83,0.24,0.25,0.18,0.93,0.42
