,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.18,0.53,0.05,0.04,0.17,0.12,0.54,0.08,0.99,0.46,0.47
emono.csv,0.24,0.59,0.71,0.04,0.26,0.12,0.54,0.08,0.63,0.45,0.99
haggle.csv,0.48,0.97,0.05,0.13,0.39,0.14,0.48,0.23,0.66,0.48,0.53
hannosset.csv,0.16,0.03,0.0,0.0,0.2,0.92,0.09,0.0,0.0,0.11,0.11
jas.csv,0.0,0.37,0.37,0.13,0.18,0.1,0.42,1.0,0.6,0.14,0.5
jgossipforum.csv,0.08,0.03,0.09,0.8,0.0,0.0,0.17,0.15,0.24,0.18,0.05
madman.csv,0.14,0.12,0.26,0.0,1.0,0.31,0.19,0.0,0.0,0.0,0.07
mediate.csv,0.38,0.61,0.95,0.07,0.34,0.18,0.55,0.2,0.64,0.51,0.53
ngl.csv,0.45,0.49,0.58,0.11,0.37,0.05,0.99,0.2,0.62,0.39,0.44
pustefix.csv,0.98,0.13,0.27,0.07,0.0,0.0,0.18,0.14,0.0,0.06,0.18
synecdoche.csv,0.45,0.3,0.69,0.06,0.07,0.23,0.31,0.07,0.27,0.96,0.52
