,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.65,0.95,0.44,0.61,0.59,0.9,0.67,0.62,1.0,0.35,0.89,0.36,0.8,0.6,0.69,0.5,0.67,0.81
encog-cs.csv,0.46,0.81,0.21,0.36,0.35,0.52,0.97,0.76,0.7,0.8,0.56,0.78,0.6,0.33,0.73,0.36,0.47,0.6
geochat.csv,0.2,0.43,0.0,0.14,0.19,0.82,0.2,0.6,0.58,0.7,0.16,0.89,0.4,0.11,0.42,0.56,1.0,0.1
ibatisdb.csv,0.19,0.33,0.21,0.25,0.22,0.39,0.17,0.09,0.06,0.2,0.07,1.0,0.2,0.29,0.2,0.33,0.4,0.25
inkscape.csv,0.34,0.1,0.95,0.45,0.3,0.27,0.06,0.27,0.05,0.05,0.2,0.11,0.4,0.47,0.13,0.36,0.27,0.25
jam-daq.csv,0.24,0.76,0.12,0.12,0.27,0.29,0.27,0.98,0.21,0.15,0.16,0.25,0.0,0.09,0.58,0.08,0.2,0.46
jhotdraw.csv,0.24,0.14,0.05,0.34,0.08,0.94,0.06,0.18,0.21,0.5,0.05,0.06,0.4,0.16,0.27,0.47,0.27,0.08
ninject.csv,0.02,0.43,0.0,0.02,0.03,0.53,0.12,0.22,0.13,0.65,0.28,0.64,1.0,0.02,0.22,0.0,0.1,0.2
ofbiz.csv,0.34,0.62,0.58,0.64,0.59,0.44,0.44,0.22,0.12,0.2,1.0,0.72,0.6,0.62,0.18,0.25,0.23,0.41
oorexx.csv,0.59,0.71,0.53,0.61,0.59,0.56,0.58,0.58,0.57,0.45,0.53,0.83,0.4,0.62,0.62,0.97,0.2,0.36
opentibia.csv,1.0,0.86,1.0,0.8,0.84,0.56,0.58,0.36,0.3,0.55,0.42,0.94,0.8,0.8,0.38,1.0,0.83,0.69
projectts.csv,0.57,0.95,0.56,0.55,1.0,0.74,0.71,0.8,0.81,0.95,0.61,0.39,0.8,0.51,0.62,0.81,0.7,0.78
retromenu.csv,0.06,1.0,0.16,0.21,0.03,0.1,0.32,0.36,0.12,0.2,0.33,0.11,0.4,0.22,0.27,0.42,0.23,0.06
roolo.csv,0.25,0.71,0.12,0.14,0.0,0.1,0.21,0.13,0.35,1.0,0.3,0.19,0.6,0.13,0.33,0.31,0.27,0.27
tango-cs.csv,0.51,0.57,0.21,0.57,0.68,0.5,0.32,0.56,0.49,0.7,0.26,0.75,0.4,0.58,0.93,0.11,0.63,0.19
trinitycore.csv,0.19,0.48,0.19,0.73,0.22,0.13,0.38,0.53,0.14,0.85,0.51,0.11,0.6,0.93,0.71,0.42,0.53,0.17
uface.csv,0.94,1.0,1.0,1.0,0.78,0.87,0.68,0.98,0.43,0.5,0.92,0.94,1.0,1.0,0.44,0.89,1.0,0.98
uwom-server.csv,0.2,0.57,0.26,0.91,0.08,0.53,0.53,0.84,0.52,0.4,0.81,0.17,0.8,0.85,0.73,0.06,0.37,0.38
