,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,97.5,197.5,194.5,98.5,192.0,552.0,292.5,396.0,98.5,99.0,183.0,2327.5,197.0,293.0,98.5,99.0,196.5,98.5
bscwweasel.csv,196.0,96.5,97.5,98.5,191.0,562.0,96.5,197.0,98.5,196.0,97.5,265.5,99.0,682.0,98.5,99.0,84.5,97.5
capcode.csv,196.0,98.5,196.5,194.0,196.0,465.5,94.5,396.0,95.5,99.0,87.5,1044.5,99.0,1378.5,93.5,99.0,186.5,99.0
dspace-gsoc.csv,97.5,197.5,196.5,98.5,294.5,756.0,292.5,296.0,98.5,99.0,97.5,1132.0,99.0,583.0,98.5,99.0,95.5,99.0
emite.csv,339.0,197.5,95.5,89.5,1209.0,745.5,1146.0,197.0,94.5,165.0,97.5,310.5,166.0,95.5,98.5,99.0,67.5,98.5
fbmanager.csv,196.0,98.5,97.5,96.5,186.0,89.5,195.0,96.5,98.5,191.0,97.5,469.5,99.0,386.5,132.0,90.5,97.5,98.5
freenet.csv,196.0,194.0,196.5,98.5,294.5,464.5,195.0,396.0,97.5,99.0,97.5,1143.0,99.0,781.0,98.5,99.0,196.5,99.0
geogebra.csv,193.0,98.5,97.5,98.5,191.0,467.5,195.0,98.5,98.5,193.0,97.5,763.0,99.0,486.5,95.5,99.0,181.0,99.0
megameknet.csv,196.0,292.0,194.5,98.5,186.0,474.5,292.5,197.5,98.5,97.5,275.5,472.5,99.0,682.0,98.5,99.0,97.5,99.0
ondex.csv,90.5,98.5,97.5,158.0,196.0,467.5,573.5,197.0,98.5,191.0,97.5,5252.0,99.0,553.0,93.5,99.0,87.5,99.0
onotoa.csv,537.0,96.5,95.5,252.5,196.0,367.0,383.5,197.0,95.5,99.0,508.0,5195.5,99.0,560.0,346.0,99.0,279.0,99.0
paintown.csv,196.0,197.5,194.5,98.5,294.5,745.0,292.5,297.0,98.5,99.0,97.5,1046.5,99.0,684.5,98.5,99.0,97.5,99.0
powerfolder.csv,94.5,197.5,76.5,98.5,481.5,359.0,94.5,197.5,96.5,99.0,189.0,189.0,99.0,290.5,95.5,99.0,89.5,150.0
retromenu.csv,591.5,98.5,187.0,98.5,309.0,164.0,192.0,97.5,96.5,191.0,97.5,177.0,99.0,194.0,81.5,99.0,97.5,96.5
smbopensoft.csv,97.5,98.5,97.5,95.5,294.5,756.0,290.5,296.0,96.5,97.5,97.5,663.5,99.0,486.0,95.5,99.0,97.5,98.5
triplea.csv,196.0,197.5,97.5,98.5,294.5,756.0,292.5,395.0,98.5,191.0,97.5,948.0,99.0,682.0,95.5,99.0,97.5,99.0
tweetsharp.csv,183.0,194.0,286.0,92.5,294.5,269.5,192.0,198.0,96.5,99.0,97.5,4679.5,98.5,757.5,98.5,99.0,196.5,99.0
xamj.csv,196.0,197.5,76.5,98.5,294.5,568.0,195.0,395.0,98.5,97.5,97.5,466.5,99.0,737.0,95.5,99.0,97.5,99.0
