,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.85,0.92,0.77,0.98
jhotdraw.csv,0.37,0.34,0.0,0.19
pokeglobal.csv,0.8,0.63,0.63,0.65
unflobtactical.csv,0.68,0.73,0.77,0.64
