,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.69,0.34,0.68,0.9
jhotdraw.csv,0.43,0.47,0.0,0.31
pokeglobal.csv,0.78,0.26,0.59,0.73
unflobtactical.csv,0.64,0.31,0.77,0.7
