,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.49,0.81,0.41,0.0,0.0,0.16,0.21,0.45,0.29,0.7
aubit4gl.csv,0.04,0.55,0.33,0.0,0.69,0.16,0.37,0.04,0.74,0.24
liferea.csv,0.63,0.2,0.61,0.75,0.35,0.6,0.29,0.58,0.18,0.2
moving-pictures.csv,0.51,0.37,0.61,0.27,0.07,0.3,0.65,0.1,0.26,0.35
opensim4opencog.csv,0.6,0.34,0.63,0.57,0.61,0.52,0.55,0.51,0.53,0.55
plearn.csv,0.62,0.66,0.75,0.61,0.28,0.39,0.46,0.43,0.09,0.56
psrchive.csv,0.64,0.7,0.85,0.55,0.59,0.51,0.52,0.4,0.64,0.41
re2c.csv,0.38,1.0,0.55,0.35,0.26,0.36,0.61,0.34,0.7,0.3
rebecca-aiml.csv,0.57,0.75,0.69,0.55,0.6,0.6,0.47,0.51,0.81,0.68
xfce.csv,0.64,0.43,0.57,0.55,0.57,0.47,0.53,0.66,0.17,0.52
