,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.63,0.68,0.8,0.0,0.0,0.93,0.9,0.49,0.56,0.67
aubit4gl.csv,0.75,0.9,0.78,0.8,0.47,0.98,0.93,0.89,0.7,0.89
liferea.csv,0.45,0.46,0.45,0.44,0.55,0.55,0.69,0.57,0.84,0.62
moving-pictures.csv,0.46,0.39,0.41,0.75,0.83,0.93,0.44,0.94,0.92,0.87
opensim4opencog.csv,0.43,0.32,0.38,0.58,0.32,0.55,0.41,0.4,0.5,0.49
plearn.csv,0.59,0.51,0.65,0.41,0.95,0.83,0.47,0.62,0.44,0.65
psrchive.csv,0.51,0.9,0.54,0.38,0.39,0.62,0.48,0.48,0.55,0.7
re2c.csv,0.76,0.86,0.52,0.65,0.96,0.73,0.46,0.83,0.59,0.9
rebecca-aiml.csv,0.46,0.41,0.4,0.29,0.34,0.43,0.31,0.42,0.61,0.53
xfce.csv,0.48,0.4,0.41,0.44,0.37,0.43,0.36,0.41,0.43,0.48
