,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.23,0.39,0.18,0.36,0.09,0.0,0.0,0.36,0.08,0.0,0.15,0.03,0.16
grafx2.csv,0.52,0.36,0.38,0.23,0.36,0.33,0.15,0.42,0.0,0.12,0.27,0.42,0.64
jahshakafx.csv,0.0,0.18,0.17,0.07,0.09,0.16,0.02,0.09,0.03,0.06,0.13,0.11,0.05
kftpgrabber.csv,0.18,0.22,0.21,0.19,0.0,0.2,0.04,1.0,1.0,0.81,0.0,0.95,0.11
kindb.csv,0.34,0.39,0.32,0.28,0.27,0.36,0.15,0.38,0.24,0.0,0.35,0.39,0.3
maya-work-in-progress.csv,0.46,0.42,0.49,0.42,0.82,0.62,0.0,0.41,0.32,0.31,0.65,0.58,0.39
netatalk.csv,0.12,0.12,0.1,0.05,0.09,0.06,0.0,0.08,0.03,0.0,0.1,0.0,0.02
nullc.csv,0.7,1.0,1.0,1.0,0.09,0.86,0.94,0.89,0.89,0.94,1.0,1.0,0.89
plee-the-bear.csv,0.61,0.5,0.0,0.01,0.64,0.27,0.72,0.59,0.71,0.94,0.26,0.76,0.68
reaper-ecad.csv,0.83,0.51,0.51,0.0,0.82,0.45,0.74,0.32,0.18,0.62,0.58,0.71,0.57
unimrcp.csv,0.06,0.04,0.05,0.06,0.09,0.04,0.04,0.0,0.03,0.06,0.16,0.05,0.02
unladen-swallow.csv,0.11,0.03,0.4,0.28,0.73,0.34,0.62,0.66,0.42,0.5,0.4,0.58,0.59
xmoto.csv,0.47,0.69,0.57,0.57,0.55,0.57,0.36,0.78,0.74,0.5,0.39,0.79,0.0
