,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.54,0.48,0.61,0.33,0.3,0.94,0.19,0.33,0.3,0.15,0.4,0.29,0.44
grafx2.csv,0.82,0.69,0.73,0.67,0.32,0.68,0.62,0.63,0.93,0.76,0.53,0.71,0.69
jahshakafx.csv,0.97,0.42,0.55,0.21,0.18,0.45,0.16,0.07,0.28,0.35,0.37,0.57,0.31
kftpgrabber.csv,0.32,0.5,0.42,0.04,0.18,0.39,0.06,1.0,1.0,0.76,0.97,0.86,0.31
kindb.csv,0.77,0.77,0.67,0.62,0.48,0.75,0.59,0.74,0.65,0.97,0.7,0.64,0.61
maya-work-in-progress.csv,0.87,0.76,0.79,0.71,0.74,0.83,0.94,0.67,0.58,0.76,0.93,0.86,0.72
netatalk.csv,0.37,0.34,0.33,0.29,0.22,0.39,0.22,0.3,0.28,0.35,0.37,1.0,0.22
nullc.csv,0.85,1.0,1.0,1.0,1.0,0.89,0.81,0.81,0.93,1.0,1.0,0.93,0.81
plee-the-bear.csv,0.1,0.26,0.82,0.04,0.48,0.17,0.5,0.33,0.33,0.62,0.17,0.43,0.44
reaper-ecad.csv,0.85,0.32,0.76,1.0,0.74,0.5,0.81,0.33,0.47,0.38,0.63,0.79,0.75
unimrcp.csv,0.3,0.1,0.15,0.25,0.22,0.19,0.0,0.93,0.21,0.06,0.33,0.0,0.11
unladen-swallow.csv,0.24,0.66,0.21,0.25,0.38,0.22,0.59,0.33,0.4,0.59,0.17,0.43,0.47
xmoto.csv,0.72,0.8,0.64,0.58,0.52,0.72,0.34,0.96,0.91,0.71,0.77,0.71,0.89
