,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.51,0.65,0.43,0.76,0.71,0.06,0.81,0.76,0.7,0.85,0.62,0.71,0.58
grafx2.csv,0.55,0.47,0.47,0.4,0.77,0.46,0.4,0.56,0.07,0.27,0.54,0.51,0.71
jahshakafx.csv,0.03,0.6,0.48,0.79,0.83,0.57,0.84,0.93,0.72,0.65,0.65,0.44,0.7
kftpgrabber.csv,0.7,0.54,0.61,0.98,0.82,0.64,0.94,1.0,1.0,0.85,0.03,0.96,0.7
kindb.csv,0.41,0.45,0.46,0.47,0.59,0.44,0.43,0.46,0.42,0.03,0.46,0.53,0.49
maya-work-in-progress.csv,0.47,0.49,0.53,0.51,0.86,0.65,0.06,0.52,0.52,0.39,0.65,0.6,0.48
netatalk.csv,0.64,0.67,0.67,0.71,0.79,0.62,0.78,0.71,0.72,0.65,0.64,0.0,0.78
nullc.csv,0.72,1.0,1.0,1.0,0.09,0.87,0.95,0.91,0.9,0.94,1.0,1.0,0.91
plee-the-bear.csv,1.09,0.89,0.18,0.96,0.82,0.87,0.88,0.89,0.98,1.01,0.87,0.95,0.88
reaper-ecad.csv,0.84,0.85,0.57,0.0,0.86,0.67,0.77,0.74,0.57,0.88,0.69,0.74,0.62
unimrcp.csv,0.7,0.9,0.85,0.75,0.79,0.81,1.0,0.07,0.79,0.94,0.69,1.0,0.89
unladen-swallow.csv,0.77,0.34,0.89,0.8,0.96,0.85,0.74,0.94,0.74,0.65,0.93,0.81,0.79
xmoto.csv,0.55,0.72,0.67,0.7,0.73,0.63,0.75,0.78,0.74,0.58,0.45,0.84,0.11
