,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.32,0.4,0.53,0.4,0.43,0.35,0.47,0.37,0.43,0.43
betoffice.csv,0.51,0.78,0.95,0.45,0.44,0.49,0.57,0.54,0.49,0.54
bnetd.csv,0.39,0.41,0.53,0.35,0.5,0.65,0.39,0.44,0.41,0.49
graphmak.csv,0.89,0.47,0.65,0.53,0.91,0.68,0.6,0.48,0.71,0.57
hazelcast.csv,0.31,0.38,0.43,0.37,0.33,0.33,0.37,0.43,0.36,0.37
megasquirtavr.csv,0.39,0.5,0.79,0.46,0.75,0.44,0.53,0.42,0.62,0.64
pdfedit.csv,0.39,0.56,0.6,0.48,0.53,0.51,0.82,0.59,0.59,0.5
stajistics.csv,0.36,0.45,0.0,0.62,0.38,0.38,0.61,0.5,0.36,0.47
twostep.csv,0.33,0.37,0.53,0.44,0.34,0.34,0.45,0.39,0.45,0.42
xharbour.csv,0.37,0.41,0.55,0.38,0.46,0.43,0.49,0.43,0.52,0.48
