,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.76,0.53,0.36,0.59,0.54,0.87,0.58,0.72,0.54,0.48
betoffice.csv,0.76,0.15,0.26,0.62,0.5,0.8,0.59,0.58,0.47,0.41
bnetd.csv,0.9,0.53,0.37,0.66,0.38,0.58,0.67,0.74,0.52,0.41
graphmak.csv,0.19,0.61,0.44,0.54,0.22,0.55,0.48,0.57,0.35,0.49
hazelcast.csv,0.75,0.54,0.5,0.53,0.48,0.97,0.56,0.59,0.57,0.52
megasquirtavr.csv,0.9,0.37,0.59,0.6,0.22,0.84,0.54,0.69,0.3,0.29
pdfedit.csv,0.7,0.38,0.38,0.75,0.38,0.77,0.3,0.67,0.51,0.46
stajistics.csv,0.78,0.44,0.0,0.45,0.48,0.82,0.47,0.71,0.65,0.6
twostep.csv,0.76,0.53,0.48,0.62,0.52,0.82,0.47,0.68,0.8,0.5
xharbour.csv,0.86,0.55,0.45,0.67,0.51,0.76,0.52,0.6,0.59,0.5
