,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.0,5.0,16.0,3.0,2.0,2.0,0.0,1.0,0.0,11.0
betoffice.csv,0.0,7.0,13.0,2.0,0.0,0.0,0.0,1.0,19.0,11.0
bnetd.csv,0.0,5.0,16.0,0.0,2.0,0.0,0.0,0.0,19.0,11.0
graphmak.csv,0.0,0.0,6.0,8.0,6.0,1.0,0.0,1.0,2.0,6.0
hazelcast.csv,0.0,3.0,2.0,2.0,10.0,0.0,0.0,5.0,11.0,7.0
megasquirtavr.csv,0.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0
pdfedit.csv,0.0,5.0,4.0,1.0,8.0,0.0,3.0,1.0,5.0,10.0
stajistics.csv,4.0,9.0,92.0,0.0,15.0,1.0,2.0,2.0,4.0,2.0
twostep.csv,0.0,1.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,11.0
xharbour.csv,0.0,3.0,11.0,8.0,3.0,2.0,1.0,1.0,0.0,7.0
