,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.65,0.09,0.47,0.58,0.64,0.79,0.35,0.72,0.09,0.64
betoffice.csv,0.34,0.19,0.42,0.53,0.38,0.0,0.6,0.44,0.39,0.44
bnetd.csv,0.0,0.33,0.27,0.59,0.4,0.44,0.0,0.71,0.0,0.26
graphmak.csv,0.12,0.7,0.68,0.53,0.26,0.43,0.48,0.13,0.31,0.64
hazelcast.csv,0.64,0.42,0.63,0.53,0.61,0.96,0.57,0.57,0.59,0.69
megasquirtavr.csv,0.0,0.32,0.55,0.56,0.29,0.0,0.5,0.0,0.33,0.4
pdfedit.csv,0.59,0.46,0.62,0.76,0.47,0.32,0.26,0.66,0.56,0.46
stajistics.csv,0.59,0.5,0.0,0.43,0.44,0.74,0.44,0.71,0.76,0.7
twostep.csv,0.66,0.6,0.69,0.63,0.65,0.74,0.46,0.68,0.85,0.66
xharbour.csv,0.8,0.56,0.72,0.56,0.65,0.67,0.52,0.44,0.61,0.65
