,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.67,1.0,0.9,0.7,0.64,0.82,0.78,0.74,1.0,0.77
betoffice.csv,0.74,0.16,0.4,0.79,0.95,0.78,0.64,0.72,0.77,0.77
bnetd.csv,1.0,0.96,1.0,0.86,0.36,0.45,1.0,0.69,0.96,0.8
graphmak.csv,0.1,0.72,0.7,0.6,0.23,0.42,0.51,0.74,0.27,0.67
hazelcast.csv,0.66,0.96,0.6,0.58,0.73,0.95,0.6,0.56,0.92,0.8
megasquirtavr.csv,1.0,0.6,0.5,0.72,0.27,0.85,0.64,1.0,0.42,0.43
pdfedit.csv,0.56,0.48,0.65,0.79,0.45,0.73,0.22,0.67,0.54,0.87
stajistics.csv,0.74,0.48,0.0,0.4,0.86,0.73,0.4,0.77,0.81,0.7
twostep.csv,0.63,0.84,0.7,0.67,0.77,0.69,0.51,0.74,0.85,0.77
xharbour.csv,0.77,0.92,0.95,0.88,0.73,0.64,0.58,0.74,0.58,0.87
