,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.5,0.26,0.91,0.42,0.57,0.84,0.35,0.37,0.1,0.94,0.94,0.53,0.22,0.31,0.71,0.19,0.73,0.4
buddata-ebxml-registry.csv,1.0,0.83,1.0,1.0,0.8,1.0,0.88,1.0,1.0,1.0,0.81,1.0,1.0,0.81,1.0,0.95,1.0,0.93
co-ode-owl-plugins.csv,0.71,0.54,0.73,0.58,0.85,0.86,0.53,0.55,0.14,0.72,0.93,0.8,0.72,0.06,0.4,0.24,0.28,0.64
firebreath.csv,0.33,0.4,1.0,0.67,0.76,0.73,0.71,0.68,0.24,0.39,0.48,0.67,0.89,0.12,0.69,0.43,0.68,0.25
gretl.csv,0.88,0.89,0.82,0.75,0.76,0.93,0.91,0.7,0.52,0.78,0.74,1.0,0.78,0.31,0.74,0.67,0.53,0.75
konversation.csv,0.17,0.4,0.36,0.75,0.46,0.41,0.38,0.57,0.24,0.44,0.11,0.73,0.78,0.25,0.42,0.38,0.31,0.18
lazarus-ccr.csv,0.83,0.43,1.0,0.25,0.8,0.55,0.71,0.57,0.43,0.67,0.19,0.8,0.89,0.88,0.98,0.71,0.91,0.27
linuxsh.csv,0.5,0.43,0.82,0.58,0.11,0.73,0.32,0.22,0.0,0.67,0.96,0.67,0.06,0.0,0.18,0.24,0.2,0.51
migen.csv,0.46,0.4,0.36,0.67,0.52,0.61,0.68,0.32,0.05,0.72,0.7,0.73,0.11,0.06,0.29,0.19,0.17,0.42
moviesandbox.csv,0.54,0.83,0.45,0.83,0.54,0.7,0.5,0.63,0.1,0.67,0.63,0.67,0.61,0.06,0.24,0.33,0.24,0.67
mvnforum.csv,0.04,0.2,0.82,0.0,0.46,0.91,0.38,0.28,0.05,0.61,0.57,0.27,0.61,0.44,0.69,0.67,0.61,0.31
ontomorphtab.csv,0.46,0.74,0.64,0.83,0.76,0.77,0.74,0.67,0.67,0.28,0.52,0.87,0.33,0.31,0.56,0.57,0.43,0.49
opengs.csv,0.17,0.23,0.82,0.58,0.65,0.7,0.29,0.38,0.1,0.17,0.74,0.47,0.5,0.0,0.49,0.33,0.48,0.27
plplot.csv,0.29,0.26,0.73,0.0,0.33,0.77,0.62,0.18,0.1,0.44,0.74,0.2,0.56,0.19,0.48,0.52,0.45,0.3
scite-ru.csv,0.92,0.91,0.82,0.75,0.87,0.91,0.85,0.75,0.48,0.83,0.96,1.0,0.89,0.81,0.51,0.95,0.49,0.7
tokratan.csv,0.17,0.31,0.64,0.58,0.57,0.68,0.56,0.27,0.1,0.06,0.46,0.67,0.72,0.12,0.65,0.76,0.45,0.33
vrjuggler.csv,0.08,0.31,0.0,0.42,0.02,0.23,0.21,0.1,0.14,0.5,0.11,0.07,0.17,0.81,0.01,0.05,0.01,0.25
xuggle.csv,0.62,0.37,0.73,0.58,0.7,0.7,0.47,0.58,0.52,0.28,0.81,0.87,0.89,0.12,0.6,0.67,0.69,0.61
