,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,0.0,0.0,0.07,0.03,0.0,0.06,0.04,0.1,0.1,0.54,0.02,0.06,0.29,0.0,0.0,0.11,0.05,0.01,0.15,0.03
blogentis.csv,0.39,0.34,0.58,0.65,0.45,0.3,0.0,0.2,0.61,0.52,0.39,0.25,0.69,0.36,0.22,0.21,0.45,0.15,0.2,0.48
free-evolution.csv,0.34,0.41,0.32,0.37,0.55,0.23,0.23,0.0,0.46,0.13,0.07,0.05,0.67,0.33,0.43,0.19,0.18,0.01,0.08,0.0
gtad.csv,0.0,0.23,0.04,0.03,0.0,0.0,0.01,0.1,0.09,0.03,0.06,0.02,0.04,0.02,0.0,0.02,0.02,0.01,0.01,0.03
htmlunit.csv,0.18,0.4,0.27,0.5,0.55,0.23,0.2,0.1,0.32,0.13,0.0,0.16,0.31,0.2,0.46,0.19,0.34,0.21,0.07,0.32
ipfire-wall.csv,0.31,0.31,0.26,0.14,0.0,0.08,0.29,0.2,0.13,0.02,0.28,0.23,0.04,0.23,0.0,0.24,0.2,0.12,0.07,0.09
irplus.csv,0.06,0.06,0.17,0.63,0.0,0.26,0.2,0.1,0.2,0.11,0.17,0.31,0.23,0.19,0.11,0.38,0.02,0.65,0.23,0.03
jasperreports.csv,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.21,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
jaxlib.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.07,0.01,0.0,0.0
jvcl.csv,0.0,0.16,0.0,0.0,0.0,0.25,0.39,0.0,0.02,0.93,0.19,0.34,0.0,0.39,0.0,0.17,0.2,0.15,0.12,0.0
kaffeine.csv,0.99,0.91,1.0,1.0,0.0,0.99,1.0,1.0,0.98,0.97,0.99,1.0,0.96,0.97,1.0,0.99,0.98,1.0,0.97,0.96
m-m-m.csv,0.7,0.67,0.85,0.48,0.73,0.64,0.74,0.0,0.73,0.66,0.89,0.95,0.69,0.86,0.46,0.67,0.64,0.96,0.77,0.53
myfaces.csv,0.13,0.31,0.18,0.28,0.0,0.82,0.77,0.2,0.24,0.93,0.18,0.0,0.31,0.45,0.41,0.2,0.64,0.03,0.08,0.28
nh3d.csv,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.08,0.0,0.01
poormans.csv,0.17,0.36,0.55,0.71,0.91,0.14,0.12,0.2,0.34,0.03,0.21,0.15,0.71,0.29,0.3,0.23,0.23,0.06,0.0,0.6
sarasvati.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.09,0.2,0.01,0.03,0.0,0.01,0.03,0.21,0.02,0.01,0.0,0.0
smartgwt.csv,0.37,0.99,0.02,0.62,0.73,0.13,0.09,0.3,0.49,0.36,0.74,0.43,0.81,0.37,0.16,0.4,0.2,0.0,0.3,0.19
taokgame.csv,0.01,0.0,0.01,0.02,0.0,0.01,0.03,0.0,0.0,0.92,0.01,0.08,0.04,0.1,0.14,0.01,0.07,0.0,0.05,0.0
wgs-assembler.csv,0.23,0.0,0.2,0.78,0.0,0.24,0.19,0.2,0.26,0.52,0.17,0.27,0.29,0.34,0.19,0.19,0.23,0.26,0.33,0.16
