,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.51,0.63,0.31,0.01,0.0,0.78,0.49,0.38,0.38,0.01,0.31,0.14,0.27,0.43,0.61,0.6,0.42
all-plasm.csv,0.45,0.63,0.12,0.03,0.31,0.75,0.35,0.22,0.57,0.01,0.28,0.21,0.11,0.67,0.42,0.45,0.34
applet2app.csv,0.48,0.83,0.3,0.01,0.13,0.74,0.51,0.23,0.53,0.0,0.57,0.13,0.36,0.42,0.45,0.57,0.52
autat.csv,0.57,0.38,0.41,0.02,0.18,0.75,0.42,0.24,0.43,0.0,0.67,0.12,0.34,0.58,0.38,0.73,0.55
autowikibrowser.csv,0.44,0.6,0.38,0.01,0.02,0.73,0.45,0.18,0.4,0.01,0.31,0.18,0.21,0.36,0.5,0.71,0.33
gbif-providertoolkit.csv,0.41,0.35,0.18,0.01,0.2,0.7,0.42,0.52,0.51,0.0,0.5,0.26,0.31,0.57,0.66,0.44,0.41
htmlunit.csv,0.46,0.82,0.32,0.01,0.16,0.78,0.49,0.19,0.52,0.01,0.44,0.2,0.32,0.43,0.76,0.62,0.35
kmatplot.csv,0.73,0.48,0.41,0.01,0.13,0.66,0.38,0.26,0.53,0.0,0.25,0.0,0.23,0.44,0.33,0.44,0.34
mcore3d.csv,0.48,0.64,0.29,0.0,0.0,0.78,0.39,0.43,0.41,0.01,0.27,0.22,0.23,0.45,0.3,0.58,0.29
nh3d.csv,0.0,0.46,0.19,0.67,0.11,0.68,0.0,0.18,0.5,0.0,0.26,0.19,0.19,0.41,0.0,0.45,0.0
qgo.csv,0.41,0.82,0.19,0.01,0.03,0.73,0.45,0.19,0.35,0.0,0.27,0.2,0.19,0.41,0.35,0.48,0.22
qtwin.csv,1.0,0.56,0.32,0.05,0.0,0.5,0.36,0.14,0.43,0.03,1.0,0.2,0.2,0.6,0.37,0.33,0.63
reactos-mirror.csv,0.61,0.65,0.29,0.01,0.11,0.7,0.4,0.21,0.38,0.0,0.33,0.16,0.23,0.36,0.31,0.58,0.28
taokgame.csv,0.6,0.55,0.29,0.0,0.56,0.88,0.34,0.27,0.21,0.01,0.42,0.22,0.19,0.63,0.66,0.54,0.6
unbvision.csv,0.47,0.5,0.28,0.0,0.08,0.73,0.56,0.26,0.47,0.0,0.51,0.2,0.31,0.31,0.32,0.6,0.32
uwom.csv,0.54,0.65,0.23,0.01,0.14,0.76,0.44,0.33,0.55,0.0,0.75,0.2,0.25,0.45,0.36,0.46,0.48
wishmaster.csv,0.0,0.5,0.27,0.0,0.0,0.76,0.36,0.23,0.52,0.01,0.41,0.4,0.15,0.38,0.54,0.71,0.3
