,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,7.0,8.0,7.0,0.0,12.0,0.0,2.0,0.0,3.0,1.0,0.0,17.0,2.0,2.0,2.0,6.0,12.0,0.0
decidr.csv,3.0,5.0,3.0,2.0,8.0,14.0,1.0,0.0,3.0,2.0,1.0,58.0,8.0,0.0,0.0,6.0,7.0,0.0
doomlegacy.csv,5.0,71.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,4.0,1.0,36.0,9.0,3.0,0.0,12.0,7.0,0.0
elmo.csv,0.0,5.0,3.0,0.0,9.0,3.0,2.0,0.0,4.0,52.0,5.0,14.0,3.0,2.0,0.0,3.0,3.0,0.0
gpac.csv,17.0,5.0,0.0,0.0,9.0,7.0,1.0,0.0,4.0,7.0,3.0,28.0,2.0,3.0,1.0,7.0,4.0,0.0
illumination.csv,284.0,8.0,2.0,0.0,360.0,15.0,4.0,102.0,232.0,4.0,7.0,59.0,9.0,0.0,105.0,2.0,6.0,0.0
img-browse-sort.csv,6.0,10.0,3.0,0.0,1.0,6.0,5.0,0.0,1.0,7.0,1.0,17.0,0.0,1.0,1.0,8.0,5.0,0.0
ktc.csv,4.0,9.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0
neoengine.csv,3.0,8.0,0.0,0.0,14.0,7.0,1.0,0.0,3.0,1.0,1.0,50.0,1.0,0.0,0.0,12.0,3.0,0.0
nicepress.csv,9.0,8.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,18.0,12.0,5.0,0.0,4.0,7.0,0.0
omseek.csv,5.0,71.0,1.0,72.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0
pi-qmc.csv,7.0,8.0,15.0,0.0,14.0,3.0,0.0,0.0,3.0,6.0,2.0,41.0,1.0,0.0,1.0,2.0,5.0,0.0
rosegarden.csv,8.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,58.0,6.0,0.0,0.0,1.0,25.0,0.0
sigil.csv,4.0,15.0,0.0,0.0,0.0,5.0,16.0,0.0,1.0,4.0,2.0,26.0,0.0,0.0,1.0,12.0,0.0,1.0
smarttag.csv,11.0,24.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,6.0,0.0,3.0,2.0,0.0
sylpheed-claws.csv,12.0,8.0,3.0,0.0,10.0,16.0,4.0,0.0,1.0,2.0,1.0,98.0,9.0,6.0,1.0,8.0,7.0,0.0
xemeiah.csv,5.0,2.0,2.0,0.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,3.0,0.0,81.0,8.0,0.0
zscreen.csv,6.0,4.0,4.0,0.0,6.0,11.0,0.0,0.0,1.0,4.0,0.0,29.0,1.0,5.0,0.0,7.0,0.0,1.0
