,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.63,0.05,0.6,0.65,0.64,0.68,0.67,0.09,0.61,0.33,0.6,0.72,0.7,0.59,0.59,0.62,0.7,0.74
decidr.csv,0.54,0.71,0.68,0.26,0.4,0.13,0.75,0.09,0.09,0.35,0.66,0.6,0.44,0.21,0.55,0.52,0.17,0.55
doomlegacy.csv,0.74,0.0,0.24,0.35,0.67,0.62,0.34,0.06,0.25,0.21,0.64,0.73,0.21,0.56,0.69,0.14,0.0,0.38
elmo.csv,0.38,0.61,0.07,0.2,0.28,0.1,0.28,0.17,0.21,0.0,0.04,0.28,0.15,0.35,0.35,0.39,0.5,0.11
gpac.csv,0.44,0.54,0.2,0.5,0.24,0.37,0.55,0.66,0.46,0.44,0.21,0.34,0.41,0.27,0.24,0.51,0.54,0.13
illumination.csv,0.0,0.23,0.09,0.37,0.0,0.45,0.01,0.0,0.0,0.45,0.53,0.32,0.0,0.21,0.0,0.78,0.09,0.0
img-browse-sort.csv,0.74,0.57,0.51,0.72,0.59,0.68,0.61,0.45,0.49,0.58,0.7,0.62,0.82,0.71,0.33,0.6,0.41,0.63
ktc.csv,0.77,0.44,0.73,0.2,0.57,0.32,0.43,0.56,0.49,0.53,0.15,0.56,0.59,0.7,0.43,0.33,0.46,0.46
neoengine.csv,0.58,0.13,0.69,0.66,0.5,0.67,0.7,0.09,0.09,0.67,0.35,0.64,0.66,0.71,0.64,0.52,0.8,0.77
nicepress.csv,0.53,0.49,0.05,0.49,0.63,0.74,0.72,0.17,0.05,0.64,0.65,0.62,0.37,0.56,0.35,0.66,0.39,0.67
omseek.csv,0.27,0.0,0.15,0.0,0.26,0.04,0.18,0.05,0.11,0.39,0.18,0.67,0.6,0.55,0.05,0.21,0.27,0.27
pi-qmc.csv,0.31,0.0,0.68,0.58,0.23,0.62,0.49,0.0,0.0,0.5,0.38,0.59,0.63,0.71,0.53,0.59,0.78,0.52
rosegarden.csv,0.77,0.56,0.3,0.26,0.72,0.56,0.5,0.56,0.38,0.25,0.41,0.65,0.56,0.7,0.66,0.21,0.49,0.66
sigil.csv,0.78,0.43,0.65,0.68,0.64,0.6,0.57,0.43,0.46,0.13,0.6,0.68,0.82,0.72,0.62,0.42,0.46,0.64
smarttag.csv,0.58,0.42,0.13,0.54,0.48,0.57,0.41,0.42,0.49,0.6,0.54,0.57,0.6,0.6,0.49,0.38,0.46,0.37
sylpheed-claws.csv,0.38,0.0,0.45,0.0,0.24,0.0,0.55,0.65,0.72,0.42,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0
xemeiah.csv,0.65,0.24,0.59,0.35,0.63,0.68,0.49,0.62,0.6,0.56,0.78,0.38,0.7,0.55,0.4,0.0,0.62,0.54
zscreen.csv,0.73,0.24,0.7,0.75,0.69,0.61,0.55,0.68,0.56,0.29,0.66,0.67,0.76,0.4,0.65,0.57,0.62,0.67
