,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.63,1.0,0.88,0.65,0.63,0.67,0.76,1.0,0.91,0.29,0.6,0.82,0.71,0.62,0.68,0.76,0.77,0.73
decidr.csv,0.55,0.8,0.78,0.83,0.75,1.0,0.74,0.95,1.0,0.93,0.91,0.88,0.92,0.92,0.74,0.76,1.0,0.92
doomlegacy.csv,0.78,0.0,0.95,0.3,0.74,0.72,0.87,0.05,0.21,1.0,0.67,0.91,1.0,0.69,0.74,0.12,1.0,0.33
elmo.csv,0.34,0.6,0.06,0.17,0.24,0.08,0.24,0.14,0.18,0.0,0.03,0.24,0.12,0.31,0.31,0.35,0.45,0.09
gpac.csv,0.79,1.0,0.17,0.57,0.21,0.33,0.62,0.66,0.95,0.43,0.18,0.3,0.37,0.23,0.21,0.53,0.73,0.11
illumination.csv,0.0,0.8,0.07,0.59,0.0,0.83,0.01,0.0,0.0,0.5,0.6,0.3,1.0,1.0,0.0,0.76,1.0,0.91
img-browse-sort.csv,0.79,0.6,0.47,0.74,0.56,0.69,0.7,0.41,0.45,0.71,0.72,0.61,0.87,0.69,0.29,0.71,0.36,0.67
ktc.csv,0.77,0.4,0.75,0.17,0.53,0.28,0.39,0.59,0.45,0.5,0.12,0.52,0.54,1.0,0.38,0.29,0.41,0.42
neoengine.csv,0.56,1.0,0.68,0.65,0.46,0.78,0.78,1.0,0.97,0.79,0.31,0.91,0.63,0.92,0.78,0.76,0.82,0.89
nicepress.csv,0.54,1.0,1.0,0.48,0.82,0.75,0.79,0.89,0.97,0.79,0.64,0.61,0.9,0.85,0.31,0.76,0.86,0.7
omseek.csv,0.23,0.0,0.12,0.0,0.22,0.03,0.15,0.04,0.09,0.36,0.15,0.64,0.56,0.54,0.04,0.18,0.23,0.23
pi-qmc.csv,0.27,1.0,0.84,0.67,0.2,0.61,0.46,0.95,1.0,0.5,0.34,0.79,0.6,0.85,0.7,0.82,0.77,0.59
rosegarden.csv,0.84,0.6,0.96,0.22,0.71,0.53,0.66,0.54,0.34,0.21,0.37,0.85,0.92,1.0,0.91,0.18,0.77,0.65
sigil.csv,0.84,0.4,0.62,0.65,0.62,0.61,0.82,0.39,0.42,1.0,0.79,0.76,0.81,0.85,0.6,0.41,0.41,0.8
smarttag.csv,0.58,0.4,0.97,0.54,0.44,0.53,0.37,0.38,0.46,0.57,0.51,0.55,0.56,0.62,0.46,0.35,0.41,0.32
sylpheed-claws.csv,0.97,1.0,0.92,0.93,0.93,1.0,0.91,0.68,0.71,0.93,1.0,1.0,1.0,0.92,0.98,1.0,0.95,1.0
xemeiah.csv,0.63,0.2,0.87,0.3,0.63,0.83,0.93,0.79,0.88,0.86,0.79,0.33,0.69,0.92,0.36,0.0,0.59,0.5
zscreen.csv,0.87,0.2,0.8,0.74,0.81,0.86,0.89,0.73,0.54,0.86,0.9,0.76,0.81,0.85,0.72,0.76,0.59,0.86
