,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.54,0.99,0.75,0.51,0.49,0.43,0.6,0.98,0.75,0.78,0.58,0.54,0.43,0.63,0.7,0.69,0.53,0.35
decidr.csv,0.68,0.56,0.6,0.94,0.89,0.97,0.35,0.98,0.98,0.9,0.7,0.75,0.87,0.95,0.78,0.8,0.96,0.79
doomlegacy.csv,0.43,1.0,0.94,0.7,0.59,0.67,0.91,0.95,0.8,0.95,0.58,0.6,0.95,0.75,0.53,0.94,1.0,0.67
elmo.csv,0.69,0.52,0.94,0.86,0.78,0.92,0.77,0.87,0.82,1.0,0.97,0.77,0.89,0.74,0.75,0.7,0.56,0.93
gpac.csv,0.87,0.81,0.84,0.8,0.86,0.74,0.74,0.47,0.85,0.77,0.87,0.74,0.69,0.8,0.85,0.74,0.78,0.92
illumination.csv,1.0,0.96,0.93,0.95,1.0,0.86,0.99,1.0,1.0,0.83,0.76,0.88,1.0,0.95,1.0,0.27,0.98,1.0
img-browse-sort.csv,0.46,0.66,0.57,0.42,0.49,0.46,0.68,0.65,0.59,0.73,0.48,0.52,0.35,0.37,0.73,0.7,0.65,0.6
ktc.csv,0.33,0.66,0.44,0.83,0.49,0.73,0.65,0.67,0.6,0.57,0.88,0.54,0.47,0.68,0.63,0.73,0.59,0.61
neoengine.csv,0.54,0.97,0.42,0.46,0.61,0.61,0.56,0.98,0.98,0.63,0.73,0.71,0.42,0.64,0.66,0.8,0.34,0.51
nicepress.csv,0.68,0.84,0.99,0.71,0.69,0.37,0.52,0.96,0.99,0.68,0.46,0.51,0.9,0.78,0.71,0.62,0.89,0.52
omseek.csv,0.77,1.0,0.88,1.0,0.78,0.98,0.86,0.97,0.91,0.79,0.86,0.41,0.46,0.62,0.96,0.83,0.77,0.79
pi-qmc.csv,0.81,1.0,0.63,0.71,0.83,0.5,0.62,1.0,1.0,0.7,0.73,0.74,0.45,0.6,0.79,0.74,0.3,0.76
rosegarden.csv,0.45,0.68,0.92,0.79,0.36,0.54,0.83,0.59,0.69,0.8,0.71,0.68,0.79,0.68,0.7,0.83,0.84,0.45
sigil.csv,0.43,0.7,0.44,0.39,0.45,0.58,0.76,0.67,0.61,0.97,0.72,0.58,0.25,0.57,0.48,0.8,0.6,0.67
smarttag.csv,0.6,0.76,0.97,0.66,0.59,0.49,0.66,0.66,0.63,0.48,0.57,0.57,0.47,0.61,0.66,0.75,0.6,0.68
sylpheed-claws.csv,0.89,1.0,0.85,1.0,0.94,1.0,0.79,0.55,0.4,0.87,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0
xemeiah.csv,0.47,0.81,0.75,0.7,0.51,0.63,0.84,0.69,0.74,0.78,0.34,0.69,0.39,0.79,0.68,1.0,0.47,0.54
zscreen.csv,0.57,0.82,0.57,0.32,0.61,0.74,0.79,0.54,0.56,0.93,0.69,0.6,0.42,0.88,0.6,0.76,0.47,0.66
