,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.46,0.49,0.4,0.42,0.53,0.44,0.35,0.32,0.39,0.44,0.38,0.44,0.41,0.37,0.34,0.36,0.43,0.35
decidr.csv,0.51,0.33,0.4,0.38,0.43,0.42,0.41,0.31,0.43,0.4,0.5,0.44,0.42,0.29,0.37,0.4,0.42,0.38
doomlegacy.csv,0.41,0.0,0.44,0.82,0.46,0.44,0.4,0.83,0.96,0.39,0.51,0.46,0.45,0.37,0.37,0.65,0.41,0.65
elmo.csv,0.69,0.56,0.91,0.86,0.79,0.86,0.83,0.93,0.96,0.0,0.89,0.98,0.9,0.71,0.61,0.58,0.65,0.89
gpac.csv,0.41,0.53,0.97,0.5,0.87,0.88,0.44,0.52,0.44,0.54,0.91,0.89,0.86,0.83,0.96,0.52,0.53,0.9
illumination.csv,0.0,0.54,0.94,0.48,0.0,0.48,0.89,0.0,0.0,0.52,0.49,0.65,0.44,0.31,0.0,0.73,0.42,0.36
img-browse-sort.csv,0.41,0.42,0.64,0.42,0.64,0.49,0.39,0.58,0.66,0.42,0.53,0.58,0.47,0.59,0.67,0.42,0.75,0.41
ktc.csv,0.42,0.45,0.44,0.9,0.59,0.75,0.6,0.4,0.43,0.5,0.9,0.6,0.44,0.31,0.56,0.72,0.67,0.42
neoengine.csv,0.53,0.5,0.46,0.47,0.67,0.48,0.38,0.32,0.44,0.41,0.6,0.45,0.46,0.36,0.36,0.37,0.53,0.38
nicepress.csv,0.48,0.54,0.44,0.54,0.44,0.5,0.38,0.32,0.44,0.5,0.42,0.58,0.46,0.35,0.6,0.46,0.46,0.4
omseek.csv,0.97,0.5,0.94,0.0,0.97,0.86,0.99,0.75,0.94,0.43,0.94,0.7,0.5,0.48,0.67,0.89,0.8,0.76
pi-qmc.csv,0.76,0.5,0.4,0.38,0.93,0.41,0.5,0.31,0.44,0.46,0.57,0.41,0.42,0.36,0.35,0.36,0.54,0.42
rosegarden.csv,0.39,0.45,0.47,0.92,0.56,0.57,0.44,0.53,0.54,0.89,0.69,0.49,0.45,0.36,0.34,0.91,0.48,0.45
sigil.csv,0.41,0.42,0.47,0.51,0.56,0.46,0.39,0.6,0.58,0.4,0.47,0.47,0.44,0.38,0.45,0.45,0.69,0.35
smarttag.csv,0.44,0.45,0.45,0.42,0.61,0.48,0.58,0.65,0.45,0.5,0.48,0.52,0.46,0.38,0.51,0.52,0.79,0.62
sylpheed-claws.csv,0.36,0.5,0.41,0.36,0.4,0.42,0.35,0.37,0.44,0.38,0.44,0.43,0.44,0.28,0.36,0.33,0.42,0.36
xemeiah.csv,0.44,0.7,0.41,0.69,0.55,0.49,0.36,0.32,0.39,0.4,0.53,0.74,0.44,0.31,0.54,0.83,0.5,0.44
zscreen.csv,0.39,0.67,0.41,0.46,0.46,0.47,0.41,0.43,0.49,0.42,0.46,0.47,0.45,0.32,0.33,0.37,0.5,0.35
