,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.95,0.79,0.71,0.61,0.73,0.73
encog-java.csv,0.73,0.06,0.0,0.22,0.23,0.02
h2database.csv,0.61,0.7,0.11,0.67,0.22,0.11
jaql.csv,0.84,0.7,0.37,0.62,0.39,0.2
raven-monitoring.csv,0.57,0.42,0.66,0.41,0.07,0.33
v8.csv,0.07,0.47,0.77,0.59,0.75,0.83
