,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.23,0.25,0.57,0.55,0.67,0.82
encog-java.csv,0.39,0.08,0.0,0.34,0.33,0.05
h2database.csv,0.35,0.4,0.19,0.64,0.34,0.19
jaql.csv,0.29,0.33,0.43,0.62,0.47,0.33
raven-monitoring.csv,0.2,0.17,0.63,0.44,0.1,0.49
v8.csv,0.04,0.26,0.52,0.41,0.5,0.91
