,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.96,0.68,0.77,0.74,0.33,0.96,0.55,0.61,0.94,0.43,0.73,0.72,0.69,0.58,0.93,0.0
aztec.csv,0.79,0.67,0.81,0.83,0.61,0.79,0.92,0.87,0.84,0.12,0.75,0.44,0.9,0.61,0.69,0.72
bl-toolkit.csv,0.83,0.69,0.79,0.54,0.83,0.04,0.8,0.68,0.83,0.85,0.71,0.46,0.8,0.56,0.84,0.62
co-ode-owl-plugins.csv,1.0,0.79,0.86,0.75,0.06,0.95,0.57,0.62,0.75,0.8,0.73,0.49,0.55,0.56,0.86,0.39
gbif-indexingtoolkit.csv,0.56,0.98,0.8,0.09,0.95,0.75,0.9,0.95,1.0,0.97,0.93,0.85,0.95,0.86,0.93,0.72
gnukeda.csv,0.58,0.62,0.61,0.74,0.43,0.68,0.06,0.71,0.83,0.87,0.68,0.57,0.57,0.71,0.7,0.49
motu.csv,0.72,0.82,0.8,0.73,0.86,0.83,0.95,0.87,0.96,0.8,0.67,0.08,0.93,0.74,0.96,0.92
oscarmcmaster.csv,0.98,0.88,1.0,0.87,1.0,0.53,0.85,1.01,0.95,0.97,0.78,0.64,0.93,0.04,0.92,0.63
pamguard.csv,0.51,0.64,0.54,0.77,0.85,0.68,0.62,0.93,0.68,0.49,0.02,0.82,0.59,0.68,0.76,1.09
prelude.csv,0.02,0.84,0.85,0.81,0.96,0.91,0.91,0.84,1.0,0.93,0.94,0.67,0.8,0.9,0.85,0.97
qdvdauthor.csv,1.1,0.74,0.71,0.85,0.92,0.68,0.76,0.8,0.55,0.67,0.71,0.74,0.0,0.83,0.89,1.01
qlc.csv,1.0,0.98,0.82,1.0,0.95,0.94,0.93,0.06,0.9,0.93,0.9,0.8,0.93,0.79,0.96,0.74
scite-ru.csv,0.78,0.61,0.11,0.96,0.61,0.7,0.67,0.69,0.79,0.97,0.82,0.55,0.73,0.74,0.71,0.75
tencompetence.csv,0.55,0.82,0.66,0.81,0.95,0.89,0.84,0.84,0.7,1.01,0.83,0.7,0.82,0.84,0.03,0.95
trackit.csv,0.55,0.04,0.72,0.79,0.54,0.62,0.58,0.72,0.78,0.36,0.77,0.68,0.62,0.73,0.87,0.43
yaprm.csv,0.81,0.81,0.79,0.71,0.93,0.84,0.8,0.56,0.03,0.66,0.65,0.84,0.68,0.73,0.58,0.91
