,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.18,0.14,0.85,0.51,0.55,0.39,0.09,0.16,0.3,0.13,0.13,0.35,0.68
codepurge.csv,0.0,0.22,0.92,0.5,0.38,0.34,0.1,0.26,0.43,0.25,0.32,0.52,0.68
crisscross.csv,0.23,0.42,0.85,0.5,0.49,0.4,0.09,0.28,0.32,0.13,0.19,0.47,0.65
elvishrayrenderer.csv,0.0,0.19,0.91,0.45,0.4,0.34,0.09,0.36,0.39,0.16,0.15,0.38,0.89
gwanted.csv,0.5,0.31,0.84,0.62,0.25,0.58,0.33,0.39,0.62,0.42,0.28,0.63,0.7
jitterbit.csv,1.0,0.18,0.88,0.51,0.42,0.62,0.09,0.55,0.33,0.24,0.15,0.55,0.73
ldview.csv,0.32,0.19,0.87,0.55,0.47,0.48,0.09,0.45,0.36,0.23,0.15,0.53,0.69
libopenmetaverse.csv,0.23,0.15,0.85,0.69,0.5,0.38,0.12,0.28,0.29,0.17,0.15,0.47,0.62
mb-unit.csv,0.25,0.16,0.9,0.51,0.41,0.73,0.09,0.33,0.34,0.23,0.18,0.56,0.66
mvdsv.csv,0.18,0.0,0.9,0.55,0.5,0.83,0.75,0.47,0.33,0.08,0.0,0.83,1.0
nova.csv,0.59,0.19,0.86,0.53,0.52,0.36,0.08,0.24,0.32,0.2,0.14,0.46,0.65
olex2.csv,0.25,0.24,0.89,0.83,0.53,0.0,0.2,0.46,0.45,0.28,0.18,0.68,0.85
tolven.csv,0.36,0.37,0.91,0.55,0.43,0.33,0.12,0.41,0.59,0.32,0.12,0.56,0.7
