,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.64,1.0,0.04,0.08,0.61,0.88,0.53,0.14,0.11,0.82,0.4
libtorrent.csv,0.71,0.46,0.05,0.3,0.8,1.0,0.57,0.2,0.18,0.85,0.49
mcmc-jags.csv,0.76,0.41,0.06,0.88,0.82,0.89,0.65,0.31,0.16,0.89,0.49
natpad.csv,0.84,0.4,0.06,0.4,0.82,0.86,0.62,0.22,0.23,0.92,1.0
nebuladevice.csv,0.77,0.75,0.09,0.23,0.79,0.95,0.58,0.37,0.93,0.79,0.74
olap-navigator.csv,1.0,0.45,0.06,0.62,0.93,0.91,0.66,0.25,0.17,0.88,0.71
pidgin.csv,0.83,0.48,0.07,0.46,1.0,0.89,0.67,0.15,0.22,0.91,0.54
salasaga.csv,0.65,0.47,0.04,0.21,0.69,0.81,0.48,1.0,0.16,0.84,0.36
sepgsql.csv,0.32,0.38,1.0,0.67,0.56,0.76,0.0,0.0,0.0,1.0,1.0
xstore.csv,0.76,0.45,0.07,0.78,0.76,0.84,1.0,0.22,0.24,0.85,0.56
xtreemfs.csv,0.77,0.45,0.06,0.78,0.87,0.92,0.66,0.34,0.22,1.0,0.48
