,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.34,0.91,0.89,0.07,0.28,0.23,0.35,0.57,0.13,0.3,0.72
libtorrent.csv,0.87,0.95,0.96,0.87,0.83,0.98,0.87,0.96,0.93,0.98,0.81
mcmc-jags.csv,0.82,0.91,0.56,0.93,0.56,0.57,0.72,0.64,0.8,0.91,0.74
natpad.csv,0.59,0.45,0.81,0.67,0.49,0.45,0.65,0.36,0.53,0.82,1.0
nebuladevice.csv,0.33,0.27,0.3,0.2,0.29,0.22,0.24,0.36,0.93,0.1,0.33
olap-navigator.csv,1.0,0.82,0.52,0.53,0.41,0.33,0.67,0.54,0.33,0.91,0.35
pidgin.csv,0.41,0.59,0.81,0.4,0.98,0.61,0.65,0.96,0.67,0.85,0.74
salasaga.csv,0.7,0.91,0.67,0.73,0.69,0.8,0.72,0.96,0.73,0.85,0.74
sepgsql.csv,0.1,0.14,0.89,0.13,0.12,0.16,0.0,0.0,0.0,0.06,0.05
xstore.csv,0.56,0.64,0.93,0.47,0.83,0.61,1.0,0.86,0.87,0.69,0.7
xtreemfs.csv,0.61,0.68,0.85,0.47,0.54,0.59,0.67,0.36,0.53,1.0,0.74
