,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.44,0.0,0.97,0.26,0.45,0.17,0.34,0.65,0.24,0.34,0.73
libtorrent.csv,0.81,0.83,0.84,0.71,0.55,0.0,0.73,0.69,0.93,0.9,0.58
mcmc-jags.csv,0.59,0.97,0.4,0.05,0.31,0.39,0.44,0.26,0.9,0.62,0.52
natpad.csv,0.26,0.5,0.65,0.36,0.28,0.39,0.44,0.22,0.38,0.36,0.0
nebuladevice.csv,0.22,0.07,0.14,0.24,0.2,0.06,0.2,0.11,0.01,0.15,0.08
olap-navigator.csv,0.0,0.73,0.37,0.12,0.08,0.17,0.39,0.29,0.34,0.66,0.09
pidgin.csv,0.19,0.47,0.54,0.17,0.0,0.39,0.37,0.96,0.51,0.44,0.42
salasaga.csv,0.85,0.77,0.8,0.98,0.8,1.0,0.88,0.0,0.83,0.84,0.88
sepgsql.csv,0.48,0.17,0.0,0.02,0.25,0.28,0.0,0.0,0.17,0.0,0.0
xstore.csv,0.41,0.57,0.6,0.05,0.67,0.61,0.0,0.53,0.58,0.66,0.38
xtreemfs.csv,0.41,0.6,0.67,0.05,0.2,0.28,0.39,0.12,0.39,0.0,0.53
