,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.37,0.93,0.13,0.09,0.31,0.27,0.39,0.51,0.16,0.34,0.54
libtorrent.csv,0.51,0.5,0.48,0.62,0.71,0.98,0.6,0.68,0.27,0.36,0.68
mcmc-jags.csv,0.68,0.13,0.57,0.93,0.58,0.58,0.68,0.66,0.33,0.71,0.67
natpad.csv,0.61,0.46,0.64,0.66,0.52,0.47,0.63,0.4,0.55,0.78,1.0
nebuladevice.csv,0.37,0.31,0.34,0.23,0.33,0.26,0.28,0.41,0.94,0.12,0.38
olap-navigator.csv,1.0,0.58,0.54,0.58,0.46,0.38,0.66,0.57,0.37,0.68,0.4
pidgin.csv,0.45,0.58,0.7,0.45,0.98,0.61,0.65,0.17,0.62,0.77,0.7
salasaga.csv,0.4,0.57,0.46,0.09,0.46,0.0,0.36,0.97,0.44,0.46,0.36
sepgsql.csv,0.12,0.17,0.91,0.16,0.14,0.19,0.0,0.0,0.0,0.07,0.06
xstore.csv,0.57,0.58,0.74,0.52,0.64,0.55,1.0,0.74,0.72,0.57,0.68
xtreemfs.csv,0.61,0.6,0.65,0.52,0.58,0.61,0.66,0.41,0.54,1.0,0.66
