,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.62,0.53,0.55,0.53,0.91,0.5,0.58
encog-java.csv,0.96,0.33,0.59,0.05,0.02,0.59,0.04
galaxium.csv,0.48,0.54,0.5,0.4,0.23,0.55,1.0
h2database.csv,0.21,0.93,0.11,0.3,0.11,0.18,0.2
haphazard.csv,0.06,0.07,0.27,0.12,0.27,0.81,0.11
jaql.csv,0.53,0.55,0.45,1.0,0.42,0.41,0.57
raven-monitoring.csv,0.58,0.39,0.93,0.31,0.55,0.71,0.51
