,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.14,0.17,0.49,0.58,0.96,0.3,0.39
encog-java.csv,0.98,0.41,0.44,0.67,0.67,0.23,0.5
galaxium.csv,0.16,0.15,0.37,0.55,0.68,0.2,1.0
h2database.csv,0.12,1.0,0.21,0.6,0.8,0.18,0.46
haphazard.csv,0.07,0.14,0.62,0.3,0.37,1.0,0.12
jaql.csv,0.2,0.17,0.61,1.0,0.54,0.2,0.46
raven-monitoring.csv,0.13,0.12,1.0,0.35,0.42,0.27,0.27
